metric,ticker,value,prev,pct_change,source
USDINR,INR=X,95.36,95.21,0.15,Yahoo Finance
GOLD,GC=F,4143.2,4155.1,-0.29,Yahoo Finance
SILVER,SI=F,61.47,61.92,-0.72,Yahoo Finance
CRUDE_WTI,CL=F,68.96,68.55,0.6,Yahoo Finance
CRUDE_BRENT,BZ=F,72.47,71.99,0.67,Yahoo Finance
COPPER,HG=F,6.2,6.18,0.44,Yahoo Finance
NAT_GAS,NG=F,3.23,3.24,-0.49,Yahoo Finance
DOLLAR_INDEX,DX-Y.NYB,100.88,100.85,0.03,Yahoo Finance
BITCOIN,BTC-USD,63196.04,63547.88,-0.55,Yahoo Finance
US_SP500,^GSPC,7537.43,7483.24,0.72,Yahoo Finance
US_NASDAQ,^IXIC,26121.16,25832.67,1.12,Yahoo Finance
US_DOW,^DJI,53055.91,52900.07,0.29,Yahoo Finance
US_VIX,^VIX,15.57,16.15,-3.59,Yahoo Finance
US_5Y_YIELD,^FVX,4.21,4.23,-0.45,Yahoo Finance
US_10Y_YIELD,^TNX,4.48,4.49,-0.13,Yahoo Finance
US_30Y_YIELD,^TYX,4.99,4.99,0.16,Yahoo Finance
NIKKEI,^N225,68515.49,69737.69,-1.75,Yahoo Finance
HANG_SENG,^HSI,23517.7,23616.32,-0.42,Yahoo Finance
SHANGHAI,000001.SS,3999.03,4041.24,-1.04,Yahoo Finance
KOSPI,^KS11,7490.19,8051.33,-6.97,Yahoo Finance
TAIWAN,^TWII,45954.44,46556.39,-1.29,Yahoo Finance
ASX200,^AXJO,8803.5,8831.0,-0.31,Yahoo Finance
FTSE,^FTSE,10651.8,10679.0,-0.25,Yahoo Finance
DAX,^GDAXI,25817.89,25779.31,0.15,Yahoo Finance
EURO_STOXX50,^STOXX50E,6398.01,6412.68,-0.23,Yahoo Finance
EM_ETF,EEM,67.57,65.7,2.85,Yahoo Finance
INDIA_ETF,INDA,49.88,49.56,0.65,Yahoo Finance
REPO_RATE,,,,,RBI (manual)
CPI_INFLATION,,,,,MOSPI (manual)
GDP_GROWTH,,,,,MOSPI (manual)
