date,symbol,subject,details,category,news_sentiment,catalyst_strength,major_catalyst,risk_event,news_score,classify_source
19-Sep-2026 20:01:07,TARC,Shareholders meeting,TARC Limited has submitted the Exchange details of Voting Results along with Scrutinizer's Report of 10th Annual General Meeting,Shareholders meeting,0.0,0,False,False,0,none
19-Sep-2026 20:07:55,REFEX,Bagging/Receiving of orders/contracts,"Clarification to the prior intimation dated September 19,2026 for bagging of contract for lifting of 10 lakh Metric Tons of Pond Ash and Fly Ash by Refex Industries Limited",Bagging/Receiving of orders/contracts,0.0,0,False,False,0,none
19-Sep-2026 20:19:02,ICICIPRULI,Shareholders meeting,"ICICI Prudential Life Insurance Company Limited has submitted the Exchange a copy Srutinizers report of  Postal Ballot. Further, the company has informed the Exchange regarding voting results.",Shareholders meeting,0.0,0,False,False,0,none
19-Sep-2026 20:20:26,ICICIPRULI,Amendment to AOA/MOA,ICICI Prudential Life Insurance Company Limited has informed the Exchange regarding the Amendment to AOA/MOA of the company.,Amendment to AOA/MOA,0.0,0,False,False,0,none
19-Sep-2026 20:23:53,COFORGE,Press Release,"Coforge Limited has informed the Exchange regarding a press release dated September 19, 2026, titled ""Coforge Introduces Value Gates Framework to Help Enterprises Turn AI Investments into Measurable Business Outcomes"".",Press Release,0.0,0,False,False,0,none
19-Sep-2026 20:38:43,SRD,Shareholders meeting,"Shankar Lal Rampal Dye-Chem Limited has informed the Exchange regarding Proceedings of Annual General Meeting held on September 19, 2026",Shareholders meeting,0.0,0,False,False,0,none
19-Sep-2026 20:43:29,BIRLACORPN,Pendency of Litigation(s)/dispute(s) or the outcome impacting the Company,Birla Corporation Limited has informed the Exchange about Pendency of Litigation(s)/dispute(s) or the outcome impacting the Company,Pendency of Litigation(s)/dispute(s) or the outcome impacting the Company,0.0,0,False,False,0,none
19-Sep-2026 20:53:02,KALYANKJIL,Shareholders meeting,"Kalyan Jewellers India Limited has submitted the Exchange a copy Srutinizers report of  Annual General Meeting held on September 19, 2026. Further, the company has informed the Exchange regarding voting results.",Shareholders meeting,0.0,0,False,False,0,none
19-Sep-2026 21:06:50,MITCON,Shareholders meeting,"MITCON Consultancy & Engineering Services Limited has submitted the Exchange a copy Srutinizers report of  Annual General Meeting held on September 17, 2026. Further, the company has informed the Exchange regarding voting results.",Shareholders meeting,0.0,0,False,False,0,none
19-Sep-2026 21:25:14,UTKARSHBNK,Outcome of Board Meeting,"Utkarsh Small Finance Bank Limited has informed the Exchange regarding Outcome of Board Meeting held on September 19, 2026.",Outcome of Board Meeting,0.0,1,False,True,3,keyword
19-Sep-2026 21:26:36,UTKARSHBNK,Appointment,"Utkarsh Small Finance Bank Limited has informed the Exchange regarding Appointment of  Mr. Manmohan Shetty as Chief Financial Officer of the Bank w.e.f. September 19, 2026.",Appointment,0.0,0,False,False,0,none
19-Sep-2026 21:55:26,ANURAS,Outcome of Board Meeting,"Anupam Rasayan India Limited has informed the Exchange regarding Outcome of Board Meeting held on September 19, 2026.",Outcome of Board Meeting,0.0,1,False,True,3,keyword
19-Sep-2026 21:57:39,ACMESOLAR,Acquisition,Acme Solar Holdings Limited has informed the Exchange about incorporation of wholly owned subsidiary,Acquisition,0.6,3,True,False,15,keyword
19-Sep-2026 21:58:25,ANURAS,Issue of Securities,Anupam Rasayan India Limited has informed the Exchange about issuance of non-convertible debentures on a private placement basis.,Issue of Securities,0.0,0,False,False,0,none
19-Sep-2026 22:23:52,TATAPOWER,Analysts/Institutional Investor Meet/Con. Call Updates,Tata Power Company Limited has informed the Exchange about Schedule of meet,Analysts/Institutional Investor Meet/Con. Call Updates,0.0,0,False,False,0,none
19-Sep-2026 22:38:49,PERSISTENT,Investor Presentation,Persistent Systems Limited has informed the Exchange about Investor Presentation,Investor Presentation,0.0,0,False,False,0,none
19-Sep-2026 22:44:22,KMEW,Bagging/Receiving of orders/contracts,Knowledge Marine & Engineering Works Limited has informed the Exchange about Bagging/Receiving of orders/contracts,Bagging/Receiving of orders/contracts,0.0,0,False,False,0,none
19-Sep-2026 23:04:57,CPEDU,General Updates,Career Point Edutech Limited has informed the Exchange about corrigondum to the Notice of 20th Annual General Meeting,General Updates,0.0,0,False,False,0,none
19-Sep-2026 23:21:34,SIS,Analysts/Institutional Investor Meet/Con. Call Updates,"SIS Limited has informed the exchange about the schedule of investor conference on September 22, 2026.",Analysts/Institutional Investor Meet/Con. Call Updates,0.0,0,False,False,0,none
19-Sep-2026 23:33:27,SFL,Shareholders meeting,"Sheela Foam Limited has submitted the Exchange a copy Srutinizers report of  Postal Ballot. Further, the company has informed the Exchange regarding voting results.",Shareholders meeting,0.0,0,False,False,0,none
