symbol,ex_date,record_date,purpose,face_value,series
RELAXO,18-Sep-2026,18-Sep-2026,Dividend - Rs 3.50 Per Share,1,EQ
AGI,15-Sep-2026,15-Sep-2026,Dividend - Rs 7 Per Share,2,EQ
TEGA,11-Sep-2026,14-Sep-2026,Dividend - Rs 2 Per Share,10,EQ
AIAENG,04-Sep-2026,05-Sep-2026,Dividend - Rs 16 Per Share,2,EQ
COALINDIA,04-Sep-2026,04-Sep-2026,Dividend - Rs 5.25 Per Share,10,EQ
TBZ,02-Sep-2026,02-Sep-2026,Dividend - Rs 2.50 Per Share,10,EQ
PGHH,01-Sep-2026,01-Sep-2026,Dividend - Rs 60 Per Share,10,EQ
GLENMARK,31-Aug-2026,31-Aug-2026,Dividend - Rs 2.50 Per Share,1,EQ
GANESHHOU,31-Aug-2026,31-Aug-2026,Dividend - Rs 1.50 Per Share,10,EQ
TRIVENI,31-Aug-2026,31-Aug-2026,Dividend - Rs 1.25 Per Share,1,EQ
MASTEK,31-Aug-2026,31-Aug-2026,Dividend - Rs 16 Per Share,5,EQ
IONEXCHANG,31-Aug-2026,31-Aug-2026,Dividend - Rs 1.25 Per Share,1,EQ
STERTOOLS,28-Aug-2026,28-Aug-2026,Dividend - Rs 2.75 Per Share,2,EQ
HONASA,28-Aug-2026,28-Aug-2026,Dividend - Rs 3 Per Share,10,EQ
PARAS,28-Aug-2026,28-Aug-2026,Dividend - Re 1 Per Share,5,EQ
ARVSMART,28-Aug-2026,28-Aug-2026,Dividend - Rs 2.25 Per Share,10,EQ
GULPOLY,28-Aug-2026,28-Aug-2026,Dividend - Rs 1.50 Per Share,1,EQ
BBOX,28-Aug-2026,28-Aug-2026,Dividend - Re 1 Per Share,2,EQ
CORALFINAC,28-Aug-2026,28-Aug-2026,Dividend - Re 0.20 Per Share,2,EQ
DYNAMATECH,28-Aug-2026,28-Aug-2026,Dividend - Rs 5 Per Share,10,EQ
SWANCORP,28-Aug-2026,28-Aug-2026,Dividend - Re 0.15 Per Share,1,EQ
STUDDS,28-Aug-2026,29-Aug-2026,Dividend - Rs 3 Per Share,5,EQ
POLYMED,28-Aug-2026,29-Aug-2026,Dividend - Rs 3.50 Per Share,5,EQ
PROTEAN,28-Aug-2026,28-Aug-2026,Dividend - Rs 10 Per Share,10,EQ
