metric,ticker,value,prev,pct_change,source
USDINR,INR=X,95.75,95.39,0.37,Yahoo Finance
GOLD,GC=F,4104.1,4130.6,-0.64,Yahoo Finance
SILVER,SI=F,59.81,60.38,-0.94,Yahoo Finance
CRUDE_WTI,CL=F,71.41,72.08,-0.93,Yahoo Finance
CRUDE_BRENT,BZ=F,76.01,76.3,-0.38,Yahoo Finance
COPPER,HG=F,6.23,6.22,0.3,Yahoo Finance
NAT_GAS,NG=F,2.94,3.01,-2.39,Yahoo Finance
DOLLAR_INDEX,DX-Y.NYB,100.97,100.94,0.03,Yahoo Finance
BITCOIN,BTC-USD,62751.84,63802.03,-1.65,Yahoo Finance
US_SP500,^GSPC,7575.39,7543.64,0.42,Yahoo Finance
US_NASDAQ,^IXIC,26281.61,26206.89,0.29,Yahoo Finance
US_DOW,^DJI,52637.01,52487.41,0.29,Yahoo Finance
US_VIX,^VIX,15.03,15.84,-5.11,Yahoo Finance
US_5Y_YIELD,^FVX,4.31,4.27,0.91,Yahoo Finance
US_10Y_YIELD,^TNX,4.57,4.54,0.66,Yahoo Finance
US_30Y_YIELD,^TYX,5.07,5.05,0.36,Yahoo Finance
NIKKEI,^N225,67178.85,68557.73,-2.01,Yahoo Finance
HANG_SENG,^HSI,24140.48,24175.12,-0.14,Yahoo Finance
SHANGHAI,000001.SS,3934.74,3996.16,-1.54,Yahoo Finance
KOSPI,^KS11,6954.87,7475.94,-6.97,Yahoo Finance
TAIWAN,^TWII,45555.58,45354.61,0.44,Yahoo Finance
ASX200,^AXJO,8786.5,8806.0,-0.22,Yahoo Finance
FTSE,^FTSE,10497.3,10472.5,0.24,Yahoo Finance
DAX,^GDAXI,25067.09,25118.27,-0.2,Yahoo Finance
EURO_STOXX50,^STOXX50E,6269.97,6284.27,-0.23,Yahoo Finance
EM_ETF,EEM,66.9,66.78,0.18,Yahoo Finance
INDIA_ETF,INDA,49.3,49.02,0.57,Yahoo Finance
REPO_RATE,,,,,RBI (manual)
CPI_INFLATION,,,,,MOSPI (manual)
GDP_GROWTH,,,,,MOSPI (manual)
