metric,ticker,value,prev,pct_change,source
USDINR,INR=X,95.2,95.42,-0.23,Yahoo Finance
GOLD,GC=F,4187.3,4112.7,1.81,Yahoo Finance
SILVER,SI=F,62.81,60.64,3.58,Yahoo Finance
CRUDE_WTI,CL=F,68.78,68.69,0.13,Yahoo Finance
CRUDE_BRENT,BZ=F,72.13,71.8,0.46,Yahoo Finance
COPPER,HG=F,6.22,6.11,1.79,Yahoo Finance
NAT_GAS,NG=F,3.24,3.2,1.53,Yahoo Finance
DOLLAR_INDEX,DX-Y.NYB,100.86,100.86,-0.0,Yahoo Finance
BITCOIN,BTC-USD,62595.42,61485.3,1.81,Yahoo Finance
US_SP500,^GSPC,7483.24,7483.23,0.0,Yahoo Finance
US_NASDAQ,^IXIC,25832.67,26040.03,-0.8,Yahoo Finance
US_DOW,^DJI,52900.07,52305.24,1.14,Yahoo Finance
US_VIX,^VIX,15.81,16.15,-2.11,Yahoo Finance
US_5Y_YIELD,^FVX,4.13,4.13,0.0,Yahoo Finance
US_10Y_YIELD,^TNX,4.37,4.37,0.0,Yahoo Finance
US_30Y_YIELD,^TYX,4.86,4.86,0.0,Yahoo Finance
NIKKEI,^N225,69744.07,68733.15,1.47,Yahoo Finance
HANG_SENG,^HSI,23350.03,23055.03,1.28,Yahoo Finance
SHANGHAI,000001.SS,4043.64,4028.9,0.37,Yahoo Finance
KOSPI,^KS11,8088.34,7648.09,5.76,Yahoo Finance
TAIWAN,^TWII,46780.62,46744.16,0.08,Yahoo Finance
ASX200,^AXJO,8844.4,8724.5,1.37,Yahoo Finance
FTSE,^FTSE,10679.0,10652.9,0.25,Yahoo Finance
DAX,^GDAXI,25779.31,25580.88,0.78,Yahoo Finance
EURO_STOXX50,^STOXX50E,6412.68,6360.47,0.82,Yahoo Finance
EM_ETF,EEM,65.7,66.48,-1.17,Yahoo Finance
INDIA_ETF,INDA,49.56,49.21,0.71,Yahoo Finance
REPO_RATE,,,,,RBI (manual)
CPI_INFLATION,,,,,MOSPI (manual)
GDP_GROWTH,,,,,MOSPI (manual)
