metric,ticker,value,prev,pct_change,source
USDINR,INR=X,96.28,96.65,-0.39,Yahoo Finance
GOLD,GC=F,4018.8,3985.6,0.83,Yahoo Finance
SILVER,SI=F,56.33,55.9,0.77,Yahoo Finance
CRUDE_WTI,CL=F,81.78,78.95,3.58,Yahoo Finance
CRUDE_BRENT,BZ=F,88.1,84.23,4.59,Yahoo Finance
COPPER,HG=F,6.26,6.3,-0.49,Yahoo Finance
NAT_GAS,NG=F,2.91,2.86,1.85,Yahoo Finance
DOLLAR_INDEX,DX-Y.NYB,100.75,100.73,0.02,Yahoo Finance
BITCOIN,BTC-USD,64601.64,63899.46,1.1,Yahoo Finance
US_SP500,^GSPC,7457.69,7533.77,-1.01,Yahoo Finance
US_NASDAQ,^IXIC,25520.24,25881.95,-1.4,Yahoo Finance
US_DOW,^DJI,52146.42,52552.97,-0.77,Yahoo Finance
US_VIX,^VIX,18.77,16.73,12.19,Yahoo Finance
US_5Y_YIELD,^FVX,4.27,4.28,-0.21,Yahoo Finance
US_10Y_YIELD,^TNX,4.54,4.57,-0.61,Yahoo Finance
US_30Y_YIELD,^TYX,5.06,5.1,-0.67,Yahoo Finance
NIKKEI,^N225,64141.12,66835.54,-4.03,Yahoo Finance
HANG_SENG,^HSI,24562.24,25008.6,-1.78,Yahoo Finance
SHANGHAI,000001.SS,3764.16,3882.41,-3.05,Yahoo Finance
KOSPI,^KS11,6820.6,7284.41,-6.37,Yahoo Finance
TAIWAN,^TWII,42671.27,45624.98,-6.47,Yahoo Finance
ASX200,^AXJO,8796.7,8840.7,-0.5,Yahoo Finance
FTSE,^FTSE,10600.4,10572.2,0.27,Yahoo Finance
DAX,^GDAXI,24830.98,24915.49,-0.34,Yahoo Finance
EURO_STOXX50,^STOXX50E,6230.87,6283.61,-0.84,Yahoo Finance
EM_ETF,EEM,63.29,64.19,-1.4,Yahoo Finance
INDIA_ETF,INDA,48.91,48.69,0.45,Yahoo Finance
REPO_RATE,,,,,RBI (manual)
CPI_INFLATION,,,,,MOSPI (manual)
GDP_GROWTH,,,,,MOSPI (manual)
