symbol,latest_oi,prev_oi,change_in_oi,pct_change_oi,volume,fut_value,opt_value,prem_value,underlying_value
NIFTY,8548998,8047257,501741,6.23,4791386,93103.51619,7450916713887,210452.45387,23757
SWIGGY,47541,45573,1968,4.32,7033,14244.25968,1885432721,290.42721,251
MOTILALOFS,14644,14080,564,4.01,3840,5183.96027,2356468363,259.42613,930
INDIGO,107666,104528,3138,3.0,28934,40034.82805,17896683355,2440.15855,4965
FINNIFTY,26806,26030,776,2.98,6868,202.36328,10755724914,470.44914,25863
IEX,35133,34323,810,2.36,6000,1063.6546,3025166479,273.61804,122
BANKNIFTY,1649674,1623704,25970,1.6,503005,42425.91801,857565348220,30250.1422,56339
MIDCPNIFTY,183088,180353,2735,1.52,37829,3345.34572,65823353001,2173.76001,14348
360ONE,19026,18753,273,1.46,1774,1729.66525,789651785,102.41785,1070
CIPLA,67023,66092,931,1.41,16055,9623.9023,8922753866,1023.08116,1439
POLICYBZR,49936,49392,544,1.1,1772,1103.61226,813914566,41.40566,1510
IDEA,125055,123694,1361,1.1,2745,17851.05279,881079472,91.55947,13
ABCAPITAL,21061,20843,218,1.05,1041,5226.26024,748673839,61.77339,386
OFSS,58355,57758,597,1.03,7791,6138.92596,7889681924,834.71924,10875
SONACOMS,28561,28271,290,1.03,5353,10537.73946,3728759149,425.19774,729
MPHASIS,33860,33555,305,0.91,10282,10733.87144,5542962378,888.62078,2328
OIL,25819,25597,222,0.87,2274,1762.22914,1316799288,137.70288,460
AUBANK,43396,43046,350,0.81,859,2053.741,648948710,81.5871,975
CGPOWER,49627,49235,392,0.8,4669,8070.69551,2744384043,469.68543,885
SHRIRAMFIN,63446,62957,489,0.78,4382,9167.81142,2824982061,438.57561,1004
CROMPTON,38032,37769,263,0.7,844,2566.53068,201386286,20.49036,245
BIOCON,43412,43124,288,0.67,2529,9695.0835,1787205875,166.55875,428
BAJAJHLDNG,7919,7870,49,0.62,232,455.67731,141929016,9.59016,10660
PREMIERENE,21424,21300,124,0.58,339,644.40311,166582286,15.47286,1017
ULTRACEMCO,79546,79087,459,0.58,5168,12576.40915,1813077706,102.62706,11752
TORNTPHARM,58240,57904,336,0.58,1134,4562.46485,253008228,16.14478,5019
COFORGE,74202,73774,428,0.58,3057,3799.94376,1759997051,243.47051,1459
LUPIN,24852,24718,134,0.54,814,2054.69599,628032593,46.17093,2372
MCX,90667,90188,479,0.53,3305,2036.74725,1894706514,123.34014,2732
RECLTD,52352,52083,269,0.52,926,2131.25157,314850595,36.2272,360
