metric,ticker,value,prev,pct_change,source
USDINR,INR=X,96.51,96.56,-0.04,Yahoo Finance
GOLD,GC=F,4034.9,4146.9,-2.7,Yahoo Finance
SILVER,SI=F,57.64,60.02,-3.96,Yahoo Finance
CRUDE_WTI,CL=F,92.05,86.83,6.01,Yahoo Finance
CRUDE_BRENT,BZ=F,100.82,94.07,7.18,Yahoo Finance
COPPER,HG=F,6.32,6.45,-2.02,Yahoo Finance
NAT_GAS,NG=F,2.93,2.92,0.1,Yahoo Finance
DOLLAR_INDEX,DX-Y.NYB,101.41,101.14,0.27,Yahoo Finance
BITCOIN,BTC-USD,65399.87,66100.8,-1.06,Yahoo Finance
US_SP500,^GSPC,7408.3,7498.96,-1.21,Yahoo Finance
US_NASDAQ,^IXIC,25137.69,25690.9,-2.15,Yahoo Finance
US_DOW,^DJI,51711.65,52218.58,-0.97,Yahoo Finance
US_VIX,^VIX,18.7,16.64,12.38,Yahoo Finance
US_5Y_YIELD,^FVX,4.46,4.41,1.23,Yahoo Finance
US_10Y_YIELD,^TNX,4.7,4.66,0.99,Yahoo Finance
US_30Y_YIELD,^TYX,5.17,5.15,0.47,Yahoo Finance
NIKKEI,^N225,64374.45,66422.6,-3.08,Yahoo Finance
HANG_SENG,^HSI,24899.32,25210.81,-1.24,Yahoo Finance
SHANGHAI,000001.SS,3830.19,3876.78,-1.2,Yahoo Finance
KOSPI,^KS11,6719.86,7096.89,-5.31,Yahoo Finance
TAIWAN,^TWII,43963.47,44850.81,-1.98,Yahoo Finance
ASX200,^AXJO,8758.4,8839.0,-0.91,Yahoo Finance
FTSE,^FTSE,10639.2,10717.0,-0.73,Yahoo Finance
DAX,^GDAXI,24763.12,25155.41,-1.56,Yahoo Finance
EURO_STOXX50,^STOXX50E,6210.17,6316.99,-1.69,Yahoo Finance
EM_ETF,EEM,64.6,64.99,-0.6,Yahoo Finance
INDIA_ETF,INDA,47.63,48.22,-1.22,Yahoo Finance
REPO_RATE,,,,,RBI (manual)
CPI_INFLATION,,,,,MOSPI (manual)
GDP_GROWTH,,,,,MOSPI (manual)
