symbol,latest_oi,prev_oi,change_in_oi,pct_change_oi,volume,fut_value,opt_value,prem_value,underlying_value
RBLBANK,23974,18900,5074,26.85,43689,69455.73802,50417475079,11455.07329,406
GODREJCP,56964,45883,11081,24.15,55606,36057.57995,21463558955,3744.58955,867
MAHABANK,7720,6391,1329,20.79,8256,8343.37205,3927687205,1047.12205,86
SOLARINDS,37922,33492,4430,13.23,66734,61791.20013,66623578067,16618.78067,21435
SBICARD,49732,44353,5379,12.13,49613,25363.54016,24651339496,5108.67496,662
NIFTY,8354021,7557237,796784,10.54,15147310,210561.21074,23655722748193,669170.72693,23998
OBEROIRLTY,23415,21472,1943,9.05,12860,9262.44375,7921909054,1771.16054,1896
FEDERALBNK,49884,46023,3861,8.39,25668,27196.63525,20223475225,3034.00225,346
MCX,77211,71777,5434,7.57,64719,41957.17967,44437083819,10088.66319,3191
INDIANB,16830,15824,1006,6.36,12622,11264.2528,10510026150,2120.3615,901
SWIGGY,69777,66676,3101,4.65,22011,27432.01829,8360413530,2129.7478,268
PHOENIXLTD,14362,13742,620,4.51,3436,3070.60334,2092785579,403.85579,1957
BAJAJ-AUTO,55379,53117,2262,4.26,18117,12023.83972,15520707714,1780.10214,12125
PERSISTENT,46854,44949,1905,4.24,30468,25975.11562,19442312615,3721.50115,5631
POWERINDIA,43684,41929,1755,4.19,9485,6180.30373,7398596946,1257.96946,32160
KALYANKJIL,55016,52828,2188,4.14,23288,12068.97583,18250401978,5023.77228,595
EICHERMOT,69680,67625,2055,3.04,16396,6022.088,12112543546,1347.73546,7633
APLAPOLLO,38811,37760,1051,2.78,4195,9297.35611,2361167315,456.51315,2170
DIVISLAB,61825,60214,1611,2.68,13040,8094.7482,11467192136,1629.82136,9230
KAYNES,54506,53159,1347,2.53,11494,8513.36418,5620045341,1306.90341,3545
HYUNDAI,21854,21337,517,2.42,5801,5583.88828,2973520220,526.1322,2171
SIEMENS,34698,33902,796,2.35,11155,6747.72075,7551931499,1615.85249,4090
WAAREEENER,59781,58414,1367,2.34,5535,3372.29882,2264739200,407.4295,2566
ATHERENERG,26390,25830,560,2.17,13524,13041.31856,7376355682,1880.03182,1642
BAJFINANCE,132737,129988,2749,2.11,15553,21915.98085,10440698100,1695.456,1053
APOLLOHOSP,37270,36505,765,2.1,6200,2704.6953,6633763927,865.13927,8760
