metric,ticker,value,prev,pct_change,source
USDINR,INR=X,95.09,95.6,-0.53,Yahoo Finance
GOLD,GC=F,4136.8,4155.1,-0.44,Yahoo Finance
SILVER,SI=F,60.99,61.92,-1.49,Yahoo Finance
CRUDE_WTI,CL=F,72.24,68.55,5.38,Yahoo Finance
CRUDE_BRENT,BZ=F,76.08,71.99,5.68,Yahoo Finance
COPPER,HG=F,6.21,6.18,0.55,Yahoo Finance
NAT_GAS,NG=F,3.28,3.24,1.05,Yahoo Finance
DOLLAR_INDEX,DX-Y.NYB,101.09,100.85,0.24,Yahoo Finance
BITCOIN,BTC-USD,62756.86,63995.02,-1.93,Yahoo Finance
US_SP500,^GSPC,7503.85,7537.43,-0.45,Yahoo Finance
US_NASDAQ,^IXIC,25818.69,26121.16,-1.16,Yahoo Finance
US_DOW,^DJI,52925.15,53055.91,-0.25,Yahoo Finance
US_VIX,^VIX,16.13,15.57,3.6,Yahoo Finance
US_5Y_YIELD,^FVX,4.26,4.23,0.64,Yahoo Finance
US_10Y_YIELD,^TNX,4.53,4.49,0.98,Yahoo Finance
US_30Y_YIELD,^TYX,5.04,4.99,1.16,Yahoo Finance
NIKKEI,^N225,68143.28,68256.96,-0.17,Yahoo Finance
HANG_SENG,^HSI,24091.49,23496.89,2.53,Yahoo Finance
SHANGHAI,000001.SS,4011.05,3990.24,0.52,Yahoo Finance
KOSPI,^KS11,7592.75,7656.31,-0.83,Yahoo Finance
TAIWAN,^TWII,45674.22,45479.11,0.43,Yahoo Finance
ASX200,^AXJO,8747.1,8803.9,-0.65,Yahoo Finance
FTSE,^FTSE,10665.9,10651.8,0.13,Yahoo Finance
DAX,^GDAXI,25465.25,25817.89,-1.37,Yahoo Finance
EURO_STOXX50,^STOXX50E,6319.86,6398.01,-1.22,Yahoo Finance
EM_ETF,EEM,65.72,67.57,-2.74,Yahoo Finance
INDIA_ETF,INDA,49.33,49.88,-1.1,Yahoo Finance
REPO_RATE,,,,,RBI (manual)
CPI_INFLATION,,,,,MOSPI (manual)
GDP_GROWTH,,,,,MOSPI (manual)
