metric,ticker,value,prev,pct_change,source
USDINR,INR=X,94.62,94.36,0.27,Yahoo Finance
GOLD,GC=F,4002.6,4022.3,-0.49,Yahoo Finance
SILVER,SI=F,58.17,58.17,0.0,Yahoo Finance
CRUDE_WTI,CL=F,70.28,70.75,-0.66,Yahoo Finance
CRUDE_BRENT,BZ=F,73.53,73.15,0.52,Yahoo Finance
COPPER,HG=F,6.19,6.1,1.53,Yahoo Finance
NAT_GAS,NG=F,3.17,3.18,-0.38,Yahoo Finance
DOLLAR_INDEX,DX-Y.NYB,101.33,101.11,0.22,Yahoo Finance
BITCOIN,BTC-USD,59502.89,59532.34,-0.05,Yahoo Finance
US_SP500,^GSPC,7440.43,7354.02,1.18,Yahoo Finance
US_NASDAQ,^IXIC,25820.14,25297.62,2.07,Yahoo Finance
US_DOW,^DJI,52182.74,51876.11,0.59,Yahoo Finance
US_VIX,^VIX,17.65,18.41,-4.13,Yahoo Finance
US_5Y_YIELD,^FVX,4.14,4.13,0.34,Yahoo Finance
US_10Y_YIELD,^TNX,4.37,4.37,0.05,Yahoo Finance
US_30Y_YIELD,^TYX,4.86,4.86,-0.08,Yahoo Finance
NIKKEI,^N225,70558.74,69468.11,1.57,Yahoo Finance
HANG_SENG,^HSI,22752.96,23026.68,-1.19,Yahoo Finance
SHANGHAI,000001.SS,4082.13,4073.9,0.2,Yahoo Finance
KOSPI,^KS11,8562.32,8394.65,2.0,Yahoo Finance
TAIWAN,^TWII,46507.01,44999.9,3.35,Yahoo Finance
ASX200,^AXJO,8820.7,8823.4,-0.03,Yahoo Finance
FTSE,^FTSE,10484.2,10508.0,-0.23,Yahoo Finance
DAX,^GDAXI,24626.89,24671.22,-0.18,Yahoo Finance
EURO_STOXX50,^STOXX50E,6231.63,6221.55,0.16,Yahoo Finance
EM_ETF,EEM,67.43,67.19,0.36,Yahoo Finance
INDIA_ETF,INDA,49.18,49.56,-0.77,Yahoo Finance
REPO_RATE,,,,,RBI (manual)
CPI_INFLATION,,,,,MOSPI (manual)
GDP_GROWTH,,,,,MOSPI (manual)
