metric,ticker,value,prev,pct_change,source
USDINR,INR=X,95.25,95.42,-0.17,Yahoo Finance
GOLD,GC=F,4187.2,4112.7,1.81,Yahoo Finance
SILVER,SI=F,62.7,60.64,3.39,Yahoo Finance
CRUDE_WTI,CL=F,69.01,68.69,0.47,Yahoo Finance
CRUDE_BRENT,BZ=F,72.21,71.57,0.89,Yahoo Finance
COPPER,HG=F,6.25,6.11,2.21,Yahoo Finance
NAT_GAS,NG=F,3.23,3.2,0.97,Yahoo Finance
DOLLAR_INDEX,DX-Y.NYB,100.81,100.86,-0.05,Yahoo Finance
BITCOIN,BTC-USD,61298.19,60003.76,2.16,Yahoo Finance
US_SP500,^GSPC,7483.24,7483.23,0.0,Yahoo Finance
US_NASDAQ,^IXIC,25832.67,26040.03,-0.8,Yahoo Finance
US_DOW,^DJI,52900.07,52305.24,1.14,Yahoo Finance
US_VIX,^VIX,16.15,16.59,-2.65,Yahoo Finance
US_5Y_YIELD,^FVX,4.23,4.13,2.42,Yahoo Finance
US_10Y_YIELD,^TNX,4.48,4.37,2.58,Yahoo Finance
US_30Y_YIELD,^TYX,4.98,4.86,2.49,Yahoo Finance
NIKKEI,^N225,69269.58,68733.15,0.78,Yahoo Finance
HANG_SENG,^HSI,23416.89,23055.03,1.57,Yahoo Finance
SHANGHAI,000001.SS,4056.78,4028.9,0.69,Yahoo Finance
KOSPI,^KS11,7862.14,7648.09,2.8,Yahoo Finance
TAIWAN,^TWII,46484.33,46744.16,-0.56,Yahoo Finance
ASX200,^AXJO,8841.4,8724.5,1.34,Yahoo Finance
FTSE,^FTSE,10652.9,10478.3,1.67,Yahoo Finance
DAX,^GDAXI,25580.88,25040.28,2.16,Yahoo Finance
EURO_STOXX50,^STOXX50E,6360.47,6282.5,1.24,Yahoo Finance
EM_ETF,EEM,65.7,66.48,-1.17,Yahoo Finance
INDIA_ETF,INDA,49.56,49.21,0.71,Yahoo Finance
REPO_RATE,,,,,RBI (manual)
CPI_INFLATION,,,,,MOSPI (manual)
GDP_GROWTH,,,,,MOSPI (manual)
