metric,ticker,value,prev,pct_change,source
USDINR,INR=X,94.31,94.86,-0.58,Yahoo Finance
GOLD,GC=F,4172.9,4224.1,-1.21,Yahoo Finance
SILVER,SI=F,64.91,66.25,-2.03,Yahoo Finance
CRUDE_WTI,CL=F,76.54,76.6,-0.08,Yahoo Finance
CRUDE_BRENT,BZ=F,80.59,79.85,0.93,Yahoo Finance
US_SP500,^GSPC,7500.58,7420.1,1.08,Yahoo Finance
US_NASDAQ,^IXIC,26517.93,26021.66,1.91,Yahoo Finance
US_10Y_YIELD,^TNX,4.45,4.46,-0.27,Yahoo Finance
DOLLAR_INDEX,DX-Y.NYB,100.85,100.09,0.76,Yahoo Finance
REPO_RATE,,,,,RBI (manual)
CPI_INFLATION,,,,,MOSPI (manual)
GDP_GROWTH,,,,,MOSPI (manual)
