date,symbol,subject,details,category
02-Sep-2026 00:40:41,PIGL,Copy of Newspaper Publication,Power & Instrumentation (Gujarat) Limited has informed the Exchange about Copy of Newspaper Publication,Copy of Newspaper Publication
02-Sep-2026 00:07:29,SUPREMEENG,Preferential issue,Supreme Engineering Limited has informed the Exchange about Preferential issue,Preferential issue
02-Sep-2026 00:06:45,CGCL,General Updates,"Capri Global Capital Limited has informed the Exchange about General Updates - Outcome of Committee Meeting held on September 01, 2026 - Approved the Pricing, tenure and other terms, and drafts of certain documents in relation to the GMTN Programme and submission of the pricing supplement with the I",General Updates
02-Sep-2026 00:03:12,CGCL,Committee Meeting Updates,"Capri Global Capital Limited has informed the Exchange regarding Outcome of Committee Meeting held on September 01, 2026 -  Approved the Pricing, tenure and other terms, and drafts of certain documents  in relation to the GMTN Programme and submission of the pricing supplement with the India INX and",Committee Meeting Updates
01-Sep-2026 23:58:52,SINTERCOM,General Updates,Sintercom India Limited has informed the Exchange about intimation on dispatch of physical communication to the Shareholders who have not registered their email address,General Updates
01-Sep-2026 23:51:17,SINTERCOM,Shareholders meeting,"Sintercom India Limited has informed the Exchange regarding Notice of 19th Annual General Meeting to be held on September 23, 2026",Shareholders meeting
01-Sep-2026 23:49:13,GATEWAY,Copy of Newspaper Publication,Gateway Distriparks Limited has informed the Exchange about Copy of Newspaper Publication,Copy of Newspaper Publication
01-Sep-2026 23:46:54,NEPHROPLUS,Agreements,"Nephrocare Health Services Limited has informed the Exchange about Acquisition of 100% participatory interest in Dialysis Center Almaty LLP, Kazakhstan",Agreements
01-Sep-2026 23:34:29,NGIL,Copy of Newspaper Publication,Nakoda Group of Industries Limited has informed the Exchange about Copy of Newspaper Publication,Copy of Newspaper Publication
01-Sep-2026 23:26:08,ECLERX,Analysts/Institutional Investor Meet/Con. Call Updates,eClerx Services Limited has informed the Exchange about Presentation,Analysts/Institutional Investor Meet/Con. Call Updates
01-Sep-2026 23:24:29,SYNGENE,Updates,Syngene International Limited has informed the Exchange regarding Grant of Performance Share Units under Syngene Long Term Incentive Performance Share Plan (PSP) 2023 (Plan).,Updates
01-Sep-2026 23:17:49,SNOWMAN,Copy of Newspaper Publication,Snowman Logistics Limited has informed the Exchange about Copy of Newspaper Publication,Copy of Newspaper Publication
01-Sep-2026 23:12:29,ONIDA,Updates,Onida Electronics Limited has informed the Exchange regarding ''.Annual Report 2025-26,Updates
01-Sep-2026 23:08:27,INDIANCARD,Resignation of Director/KMP/SMP,Indian Card Clothing Company Limited has informed the Exchange about Resignation of Director/KMP/SMP,Resignation of Director/KMP/SMP
01-Sep-2026 23:05:57,ONIDA,General Updates,Onida Electronics Limited has informed the Exchange about General Updates,General Updates
01-Sep-2026 23:01:43,SADBHAV,Shareholders meeting,"Sadbhav Engineering Limited has informed the Exchange regarding Notice of Annual General Meeting to be held on September 30, 2026",Shareholders meeting
01-Sep-2026 23:00:30,ONIDA,Shareholders meeting,"Onida Electronics Limited has informed the Exchange about Shareholders meeting to be held on September 23, 2026",Shareholders meeting
01-Sep-2026 22:58:46,BKMINDST,Structural Digital Database,SDD as on date,Structural Digital Database
01-Sep-2026 22:54:59,SADBHAV,Issue of Securities,Sadbhav Engineering Limited has informed the Exchange about Issuance of equity shares on preferential basis to Lenders and Promoters,Issue of Securities
01-Sep-2026 22:53:04,RPGLIFE,General Updates,Cancellation of Investor meet,General Updates
