metric,ticker,value,prev,pct_change,source
USDINR,INR=X,94.3,94.44,-0.15,Yahoo Finance
GOLD,GC=F,4096.3,4030.5,1.63,Yahoo Finance
SILVER,SI=F,59.67,58.35,2.27,Yahoo Finance
CRUDE_WTI,CL=F,69.23,71.92,-3.74,Yahoo Finance
CRUDE_BRENT,BZ=F,72.6,75.26,-3.53,Yahoo Finance
COPPER,HG=F,6.21,6.07,2.25,Yahoo Finance
NAT_GAS,NG=F,3.28,3.34,-1.91,Yahoo Finance
DOLLAR_INDEX,DX-Y.NYB,101.36,101.43,-0.07,Yahoo Finance
BITCOIN,BTC-USD,60041.67,60016.43,0.04,Yahoo Finance
US_SP500,^GSPC,7354.02,7357.49,-0.05,Yahoo Finance
US_NASDAQ,^IXIC,25297.62,25358.6,-0.24,Yahoo Finance
US_DOW,^DJI,51876.11,51920.62,-0.09,Yahoo Finance
US_VIX,^VIX,18.41,18.89,-2.54,Yahoo Finance
US_5Y_YIELD,^FVX,4.13,4.16,-0.79,Yahoo Finance
US_10Y_YIELD,^TNX,4.37,4.39,-0.46,Yahoo Finance
US_30Y_YIELD,^TYX,4.86,4.86,0.12,Yahoo Finance
NIKKEI,^N225,69360.88,72366.34,-4.15,Yahoo Finance
HANG_SENG,^HSI,22671.86,23076.91,-1.76,Yahoo Finance
SHANGHAI,000001.SS,4027.26,4120.28,-2.26,Yahoo Finance
KOSPI,^KS11,8411.21,8930.3,-5.81,Yahoo Finance
TAIWAN,^TWII,44571.76,46255.26,-3.64,Yahoo Finance
ASX200,^AXJO,8764.2,8748.7,0.18,Yahoo Finance
FTSE,^FTSE,10508.0,10529.9,-0.21,Yahoo Finance
DAX,^GDAXI,24671.22,24994.83,-1.29,Yahoo Finance
EURO_STOXX50,^STOXX50E,6221.55,6267.53,-0.73,Yahoo Finance
EM_ETF,EEM,67.19,67.96,-1.13,Yahoo Finance
INDIA_ETF,INDA,49.56,49.43,0.26,Yahoo Finance
REPO_RATE,,,,,RBI (manual)
CPI_INFLATION,,,,,MOSPI (manual)
GDP_GROWTH,,,,,MOSPI (manual)
