metric,ticker,value,prev,pct_change,source
USDINR,INR=X,95.54,95.59,-0.06,Yahoo Finance
GOLD,GC=F,4067.4,4070.9,-0.09,Yahoo Finance
SILVER,SI=F,58.16,58.16,-0.01,Yahoo Finance
CRUDE_WTI,CL=F,74.36,73.52,1.14,Yahoo Finance
CRUDE_BRENT,BZ=F,78.9,78.02,1.13,Yahoo Finance
COPPER,HG=F,6.11,6.05,0.98,Yahoo Finance
NAT_GAS,NG=F,3.21,3.21,0.06,Yahoo Finance
DOLLAR_INDEX,DX-Y.NYB,100.99,101.05,-0.06,Yahoo Finance
BITCOIN,BTC-USD,61995.06,63297.39,-2.06,Yahoo Finance
US_SP500,^GSPC,7482.71,7503.85,-0.28,Yahoo Finance
US_NASDAQ,^IXIC,25870.65,25818.69,0.2,Yahoo Finance
US_DOW,^DJI,52348.39,52925.15,-1.09,Yahoo Finance
US_VIX,^VIX,16.9,16.13,4.77,Yahoo Finance
US_5Y_YIELD,^FVX,4.31,4.26,1.2,Yahoo Finance
US_10Y_YIELD,^TNX,4.57,4.53,0.88,Yahoo Finance
US_30Y_YIELD,^TYX,5.07,5.04,0.44,Yahoo Finance
NIKKEI,^N225,67935.18,66819.05,1.67,Yahoo Finance
HANG_SENG,^HSI,24011.03,24199.46,-0.78,Yahoo Finance
SHANGHAI,000001.SS,3952.49,3970.88,-0.46,Yahoo Finance
KOSPI,^KS11,7250.06,7246.79,0.05,Yahoo Finance
TAIWAN,^TWII,45760.18,45734.41,0.06,Yahoo Finance
ASX200,^AXJO,8735.1,8785.1,-0.57,Yahoo Finance
FTSE,^FTSE,10489.0,10665.9,-1.66,Yahoo Finance
DAX,^GDAXI,24897.45,25465.25,-2.23,Yahoo Finance
EURO_STOXX50,^STOXX50E,6204.91,6319.86,-1.82,Yahoo Finance
EM_ETF,EEM,66.23,65.72,0.78,Yahoo Finance
INDIA_ETF,INDA,48.65,49.33,-1.38,Yahoo Finance
REPO_RATE,,,,,RBI (manual)
CPI_INFLATION,,,,,MOSPI (manual)
GDP_GROWTH,,,,,MOSPI (manual)
