metric,ticker,value,prev,pct_change,source
USDINR,INR=X,94.68,94.34,0.36,Yahoo Finance
GOLD,GC=F,4210.5,4224.1,-0.32,Yahoo Finance
SILVER,SI=F,66.07,66.25,-0.27,Yahoo Finance
CRUDE_WTI,CL=F,75.25,76.6,-1.76,Yahoo Finance
CRUDE_BRENT,BZ=F,79.24,79.85,-0.76,Yahoo Finance
COPPER,HG=F,6.35,6.37,-0.45,Yahoo Finance
NAT_GAS,NG=F,3.33,3.23,3.09,Yahoo Finance
DOLLAR_INDEX,DX-Y.NYB,100.98,100.85,0.12,Yahoo Finance
BITCOIN,BTC-USD,64075.53,63237.54,1.33,Yahoo Finance
US_SP500,^GSPC,7500.58,7420.1,1.08,Yahoo Finance
US_NASDAQ,^IXIC,26517.93,26021.66,1.91,Yahoo Finance
US_DOW,^DJI,51564.7,51492.55,0.14,Yahoo Finance
US_VIX,^VIX,17.59,16.4,7.26,Yahoo Finance
US_5Y_YIELD,^FVX,4.22,4.23,-0.09,Yahoo Finance
US_10Y_YIELD,^TNX,4.45,4.46,-0.27,Yahoo Finance
US_30Y_YIELD,^TYX,4.9,4.93,-0.51,Yahoo Finance
NIKKEI,^N225,72353.96,71250.06,1.55,Yahoo Finance
HANG_SENG,^HSI,23768.52,23924.81,-0.65,Yahoo Finance
SHANGHAI,000001.SS,4163.1,4090.48,1.78,Yahoo Finance
KOSPI,^KS11,9114.55,9052.42,0.69,Yahoo Finance
TAIWAN,^TWII,47741.51,46465.2,2.75,Yahoo Finance
ASX200,^AXJO,8816.1,8828.7,-0.14,Yahoo Finance
FTSE,^FTSE,10358.09,10363.3,-0.05,Yahoo Finance
DAX,^GDAXI,24972.47,24985.82,-0.05,Yahoo Finance
EURO_STOXX50,^STOXX50E,6294.05,6293.13,0.01,Yahoo Finance
EM_ETF,EEM,70.79,68.56,3.25,Yahoo Finance
INDIA_ETF,INDA,49.58,49.06,1.06,Yahoo Finance
REPO_RATE,,,,,RBI (manual)
CPI_INFLATION,,,,,MOSPI (manual)
GDP_GROWTH,,,,,MOSPI (manual)
