metric,ticker,value,prev,pct_change,source
USDINR,INR=X,94.64,94.79,-0.16,Yahoo Finance
GOLD,GC=F,3993.1,4022.9,-0.74,Yahoo Finance
SILVER,SI=F,58.26,59.48,-2.05,Yahoo Finance
CRUDE_WTI,CL=F,69.69,69.5,0.27,Yahoo Finance
CRUDE_BRENT,BZ=F,73.15,72.92,0.32,Yahoo Finance
COPPER,HG=F,6.15,6.19,-0.7,Yahoo Finance
NAT_GAS,NG=F,3.25,3.28,-0.67,Yahoo Finance
DOLLAR_INDEX,DX-Y.NYB,101.28,101.19,0.09,Yahoo Finance
BITCOIN,BTC-USD,59230.0,60138.38,-1.51,Yahoo Finance
US_SP500,^GSPC,7499.36,7440.43,0.79,Yahoo Finance
US_NASDAQ,^IXIC,26213.72,25820.14,1.52,Yahoo Finance
US_DOW,^DJI,52319.2,52182.74,0.26,Yahoo Finance
US_VIX,^VIX,16.45,17.65,-6.8,Yahoo Finance
US_5Y_YIELD,^FVX,4.13,4.16,-0.79,Yahoo Finance
US_10Y_YIELD,^TNX,4.37,4.39,-0.46,Yahoo Finance
US_30Y_YIELD,^TYX,4.86,4.86,0.12,Yahoo Finance
NIKKEI,^N225,70572.79,70062.32,0.73,Yahoo Finance
HANG_SENG,^HSI,22881.02,23026.68,-0.63,Yahoo Finance
SHANGHAI,000001.SS,4138.65,4094.4,1.08,Yahoo Finance
KOSPI,^KS11,8374.59,8476.48,-1.2,Yahoo Finance
TAIWAN,^TWII,47039.73,46125.91,1.98,Yahoo Finance
ASX200,^AXJO,8717.8,8778.7,-0.69,Yahoo Finance
FTSE,^FTSE,10497.1,10484.2,0.12,Yahoo Finance
DAX,^GDAXI,24995.81,24626.89,1.5,Yahoo Finance
EURO_STOXX50,^STOXX50E,6328.09,6231.63,1.55,Yahoo Finance
EM_ETF,EEM,68.41,67.43,1.45,Yahoo Finance
INDIA_ETF,INDA,49.39,49.18,0.43,Yahoo Finance
REPO_RATE,,,,,RBI (manual)
CPI_INFLATION,,,,,MOSPI (manual)
GDP_GROWTH,,,,,MOSPI (manual)
