metric,ticker,value,prev,pct_change,source
USDINR,INR=X,96.42,96.65,-0.24,Yahoo Finance
GOLD,GC=F,4029.1,4012.7,0.41,Yahoo Finance
SILVER,SI=F,57.26,56.04,2.19,Yahoo Finance
CRUDE_WTI,CL=F,83.71,82.49,1.48,Yahoo Finance
CRUDE_BRENT,BZ=F,90.37,88.1,2.58,Yahoo Finance
COPPER,HG=F,6.3,6.22,1.22,Yahoo Finance
NAT_GAS,NG=F,2.88,2.91,-0.96,Yahoo Finance
DOLLAR_INDEX,DX-Y.NYB,100.72,100.75,-0.03,Yahoo Finance
BITCOIN,BTC-USD,64620.9,64796.6,-0.27,Yahoo Finance
US_SP500,^GSPC,7457.69,7533.77,-1.01,Yahoo Finance
US_NASDAQ,^IXIC,25520.24,25881.95,-1.4,Yahoo Finance
US_DOW,^DJI,52146.42,52552.97,-0.77,Yahoo Finance
US_VIX,^VIX,18.77,16.73,12.19,Yahoo Finance
US_5Y_YIELD,^FVX,4.27,4.28,-0.21,Yahoo Finance
US_10Y_YIELD,^TNX,4.54,4.57,-0.61,Yahoo Finance
US_30Y_YIELD,^TYX,5.06,5.1,-0.67,Yahoo Finance
NIKKEI,^N225,64141.12,66835.54,-4.03,Yahoo Finance
HANG_SENG,^HSI,25070.87,24562.24,2.07,Yahoo Finance
SHANGHAI,000001.SS,3808.39,3764.16,1.18,Yahoo Finance
KOSPI,^KS11,6535.95,6820.6,-4.17,Yahoo Finance
TAIWAN,^TWII,42798.05,42671.27,0.3,Yahoo Finance
ASX200,^AXJO,8812.6,8796.7,0.18,Yahoo Finance
FTSE,^FTSE,10600.4,10572.2,0.27,Yahoo Finance
DAX,^GDAXI,24830.98,24915.49,-0.34,Yahoo Finance
EURO_STOXX50,^STOXX50E,6230.87,6283.61,-0.84,Yahoo Finance
EM_ETF,EEM,63.29,64.19,-1.4,Yahoo Finance
INDIA_ETF,INDA,48.91,48.69,0.45,Yahoo Finance
REPO_RATE,,,,,RBI (manual)
CPI_INFLATION,,,,,MOSPI (manual)
GDP_GROWTH,,,,,MOSPI (manual)
