metric,ticker,value,prev,pct_change,source
USDINR,INR=X,94.95,94.92,0.03,Yahoo Finance
GOLD,GC=F,4077.5,4068.3,0.23,Yahoo Finance
SILVER,SI=F,60.69,60.08,1.0,Yahoo Finance
CRUDE_WTI,CL=F,67.82,68.58,-1.11,Yahoo Finance
CRUDE_BRENT,BZ=F,70.84,71.57,-1.02,Yahoo Finance
COPPER,HG=F,6.17,6.12,0.69,Yahoo Finance
NAT_GAS,NG=F,3.2,3.22,-0.68,Yahoo Finance
DOLLAR_INDEX,DX-Y.NYB,101.35,101.39,-0.04,Yahoo Finance
BITCOIN,BTC-USD,60670.16,58558.86,3.61,Yahoo Finance
US_SP500,^GSPC,7483.23,7499.36,-0.22,Yahoo Finance
US_NASDAQ,^IXIC,26040.03,26213.72,-0.66,Yahoo Finance
US_DOW,^DJI,52305.24,52319.2,-0.03,Yahoo Finance
US_VIX,^VIX,16.59,16.45,0.85,Yahoo Finance
US_5Y_YIELD,^FVX,4.23,4.13,2.47,Yahoo Finance
US_10Y_YIELD,^TNX,4.47,4.37,2.36,Yahoo Finance
US_30Y_YIELD,^TYX,4.97,4.86,2.1,Yahoo Finance
NIKKEI,^N225,69169.24,70474.96,-1.85,Yahoo Finance
HANG_SENG,^HSI,23154.41,22881.02,1.19,Yahoo Finance
SHANGHAI,000001.SS,4075.31,4112.44,-0.9,Yahoo Finance
KOSPI,^KS11,7889.33,8303.41,-4.99,Yahoo Finance
TAIWAN,^TWII,46487.1,47018.99,-1.13,Yahoo Finance
ASX200,^AXJO,8711.2,8722.9,-0.13,Yahoo Finance
FTSE,^FTSE,10478.3,10497.1,-0.18,Yahoo Finance
DAX,^GDAXI,25040.28,24995.81,0.18,Yahoo Finance
EURO_STOXX50,^STOXX50E,6282.5,6328.09,-0.72,Yahoo Finance
EM_ETF,EEM,66.48,68.41,-2.82,Yahoo Finance
INDIA_ETF,INDA,49.21,49.39,-0.36,Yahoo Finance
REPO_RATE,,,,,RBI (manual)
CPI_INFLATION,,,,,MOSPI (manual)
GDP_GROWTH,,,,,MOSPI (manual)
