date,symbol,subject,details,category,news_sentiment,catalyst_strength,major_catalyst,risk_event,news_score,classify_source
09-Sep-2026 22:52:46,SBILIFE,General Updates,SBI Life Insurance Company Limited has informed the Exchange about appointment of Joint Statutory Auditors for the Financial Year 2026-27,General Updates,0.0,0,False,False,0,none
09-Sep-2026 22:56:48,KRSNAA,General Updates,Krsnaa Diagnostics Limited has informed the Exchange about General Updates,General Updates,0.0,0,False,False,0,none
09-Sep-2026 23:07:41,INDUSINDBK,General Updates,Indusind Bank Limited has informed the Exchange about ESG Rating by Crisil ESG Ratings & Analytics Limited,General Updates,0.0,0,False,False,0,none
09-Sep-2026 23:08:08,BSHSL,Updates,Bombay Super Hybrid Seeds Limited has informed the Exchange regarding 'BRSR Report'.,Updates,0.0,0,False,False,0,none
09-Sep-2026 23:12:30,TMCV,General Updates,"Tata Motors Limited has informed the Exchange about notices to Shareholders and Creditors regarding Composite Scheme of Amalgamation amongst Tata Motors Limited, TMF Holdings Limited and TMF Business Services Limited.",General Updates,0.0,0,False,False,0,none
09-Sep-2026 23:14:21,BSHSL,Copy of Newspaper Publication,Bombay Super Hybrid Seeds Limited has informed the Exchange about Copy of Newspaper Publication,Copy of Newspaper Publication,0.0,0,False,False,0,none
09-Sep-2026 23:15:42,CGCL,General Updates,"Capri Global Capital Limited has informed the Exchange about General Updates - the Company has uploaded the final supplemental offering circular dated 09 September, 2026 and pricing supplement dated 09 September, 2026 on the websites of India International Exchange (IFSC) Limited ( India INX ) and N",General Updates,0.0,0,False,False,0,none
09-Sep-2026 23:22:12,CGCL,General Updates,"Capri Global Capital Limited has informed the Exchange about General Updates - Allotment and settlement of the U.S.$ 300,000,000 7.55% senior secured notes due December 2029 ( Notes )",General Updates,0.0,0,False,False,0,none
09-Sep-2026 23:28:08,CGCL,Committee Meeting Updates,"Capri Global Capital Limited has informed the Exchange regarding Outcome of Committee Meeting held on September 09, 2026. -Allotment and settlement of the U.S.$ 300,000,000 7.55% senior secured notes due December 2029 ( Notes )",Committee Meeting Updates,0.0,0,False,False,0,none
09-Sep-2026 23:33:49,CGCL,Others,"Capri Global Capital Limited has informed the Exchange about Others - Allotment and settlement of the U.S.$ 300,000,000 7.55% senior secured notes due December 2029 ( Notes )",Others,0.0,0,False,False,0,none
09-Sep-2026 23:35:14,GRAVITA,Copy of Newspaper Publication,Gravita India Limited has informed the Exchange about Copy of Newspaper Publication,Copy of Newspaper Publication,0.0,0,False,False,0,none
09-Sep-2026 23:35:38,MANYAVAR,Updates,"Vedant Fashions Limited has informed the Exchange regarding receipt of an Order-in-Appeal dated August 28, 2026 (received on September 08, 2026) from the Office of the Commissioner of CGST and CEX (Appeals-III), Mumbai, under the CGST Act 2017, vide the enclosed letter.",Updates,0.0,0,False,False,0,none
09-Sep-2026 23:46:49,FORTIS,Analysts/Institutional Investor Meet/Con. Call Updates,Fortis Healthcare Limited has informed the Exchange about revised intimation for Schedule of Investor meet,Analysts/Institutional Investor Meet/Con. Call Updates,0.0,0,False,False,0,none
09-Sep-2026 23:48:51,FORTIS,Analysts/Institutional Investor Meet/Con. Call Updates,Fortis Healthcare Limited has informed the Exchange about Revised Intimation for Schedule of Investors meet,Analysts/Institutional Investor Meet/Con. Call Updates,0.0,0,False,False,0,none
09-Sep-2026 23:50:10,POONAWALLA,Credit Rating,Poonawalla Fincorp Limited has informed the Exchange about Credit Rating,Credit Rating,0.0,0,False,False,0,none
09-Sep-2026 23:53:52,SWARAJ,Copy of Newspaper Publication,Swaraj Suiting Limited has informed the Exchange about Copy of Newspaper Publication,Copy of Newspaper Publication,0.0,0,False,False,0,none
09-Sep-2026 23:58:05,SMLT,Demise,"Sarthak Metals Limited has informed the Exchange regarding Demise of Mr Narendra Dewangan, Chief Financial Officer of the company on September 09, 2026.",Demise,0.0,0,False,False,0,none
10-Sep-2026 00:02:21,SHALPAINTS,Shareholders meeting,"Shalimar Paints Limited has submitted the Exchange a copy Srutinizers report of  Annual General Meeting held on September 09, 2026. Further, the company has informed the Exchange regarding voting results.",Shareholders meeting,0.0,0,False,False,0,none
10-Sep-2026 00:35:04,SURYODAY,ESOP/ESOS/ESPS,Suryoday Small Finance Bank Limited has informed the Exchange regarding Grant of 159672  Options.,ESOP/ESOS/ESPS,0.0,0,False,False,0,none
10-Sep-2026 01:01:32,JNPR,Commencement of commercial production/operations,Juniper Green Energy Limited has informed the Exchange about commissioning of additional capacity,Commencement of commercial production/operations,0.0,0,False,False,0,none
