date,symbol,subject,details,category,news_sentiment,catalyst_strength,major_catalyst,risk_event,news_score,classify_source
15-Sep-2026 08:01:40,MUTHOOTMF,Press Release,"Muthoot Microfin Limited has informed the Exchange regarding a press release dated September 15, 2026, titled ""Muthoot Microfin Secures &#8377;250 Crore Through NCDs to DriveGrowth Plans"".",Press Release,0.0,0,False,False,0,none
15-Sep-2026 08:16:01,JUBLFOOD,Change in Management,Jubilant FoodWorks Limited has informed the Exchange about Change in Senior Management,Change in Management,0.0,0,False,False,0,none
15-Sep-2026 09:04:25,HEXT,Updates,Hexaware Technologies Limited has informed the Exchange regarding 'Press Release'.,Updates,0.0,0,False,False,0,none
15-Sep-2026 09:15:11,STLNETWORK,Price movement,"Significant movement in price has been observed in STL Networks Limited. The Exchange, in order to ensure that investors have latest relevant information about the company and to inform the market place so that the interest of the investors is safeguarded, had written to the company. STL Networks Li",Price movement,0.0,0,False,False,0,none
15-Sep-2026 09:43:02,PGIL,Committee Meeting Updates,"Pearl Global Industries Limited has informed the Exchange regarding Outcome of Bonus Allotment Committee Meeting held on September 15, 2026.",Committee Meeting Updates,0.5,2,True,False,12,keyword
15-Sep-2026 09:46:18,SYMPHONY,General Updates,Interaction with Electronic Media,General Updates,0.0,0,False,False,0,none
15-Sep-2026 09:48:36,BAJAJHLDNG,Dividend,"Bajaj Holdings & Investment Limited has informed the Exchange that Board of Directors at its meeting held on 15 September 2026, declared an Interim Dividend of Rs. 65/- per equity share.",Dividend,0.5,2,True,False,12,keyword
15-Sep-2026 09:49:22,IZMO,Press Release,"IZMO Limited has informed the Exchange regarding a press release dated September 15, 2026, titled ""izmo Microsystems UnveilsSilicon Photonics Modules at SEMICON India 2026",Press Release,0.0,0,False,False,0,none
15-Sep-2026 09:50:38,KELLTONTEC,Copy of Newspaper Publication,Kellton Tech Solutions Limited has informed the Exchange about Copy of Newspaper Publication,Copy of Newspaper Publication,0.0,0,False,False,0,none
15-Sep-2026 09:50:40,RCF,Credit Rating,Rashtriya Chemicals and Fertilizers Limited has informed the Exchange about Credit Rating,Credit Rating,0.0,0,False,False,0,none
15-Sep-2026 09:51:54,CARTRADE,Press Release,"Cartrade Tech Limited has informed the Exchange regarding a press release dated September 14, 2026, titled ""Press Release"".",Press Release,0.0,0,False,False,0,none
15-Sep-2026 09:56:05,BAJAJHLDNG,Record Date,Bajaj Holdings & Investment Limited has informed the Exchange that Record date for the purpose of Interim Dividend is 21 September 2026.,Record Date,0.5,2,True,False,12,keyword
15-Sep-2026 10:05:57,KELLTONTEC,Press Release,"Kellton Tech Solutions Limited has informed the Exchange regarding a press release dated September 15, 2026, titled ""Kellton Chosen to Build Enterprise Loan Integration Platform for a Leading Automotive Finance Company"".",Press Release,0.0,0,False,False,0,none
15-Sep-2026 10:07:05,SRGHFL,Analysts/Institutional Investor Meet/Con. Call Updates,SRG Housing Finance Limited has informed the Exchange about Schedule of meet,Analysts/Institutional Investor Meet/Con. Call Updates,0.0,0,False,False,0,none
15-Sep-2026 10:09:49,MAHSCOOTER,Dividend,"Maharashtra Scooters Limited has informed the Exchange that Board of Directors at its meeting held on 15 September 2026, declared an Interim Dividend of Rs. 160/- per equity share.",Dividend,0.5,2,True,False,12,keyword
15-Sep-2026 10:11:27,MAHSCOOTER,Record Date,Maharashtra Scooters Limited has informed the Exchange that Record date for the purpose of Interim Dividend is 21 September 2026.,Record Date,0.5,2,True,False,12,keyword
15-Sep-2026 10:23:00,MAHAPEXLTD,Updates,"Maha Rashtra Apex Corporation Limited has informed the Exchange regarding 'Intimation of approval of Reclassification of Promoter  under Regulation 31A of the SEBI (Listing Obligations and Disclosure Requirements) Regulations, 2015.'.",Updates,-0.7,2,True,True,12,keyword
15-Sep-2026 10:24:35,JUBLFOOD,Resignation of Director/KMP/SMP,Jubilant Foodworks Limited has informed the Exchange about Resignation of Director/KMP/SMP,Resignation of Director/KMP/SMP,0.0,0,False,False,0,none
15-Sep-2026 10:27:16,UNOMINDA,Press Release,"UNO Minda Limited has informed the Exchange regarding a press release dated September 15, 2026, titled ""Uno Minda Announces four Major Strategic Expansions Across Multiple Divisions with combined investment of Rs. 1,415 crore."".",Press Release,0.0,0,False,False,0,none
15-Sep-2026 10:27:29,NEULANDLAB,Press Release,"Neuland Laboratories Limited has informed the Exchange regarding a press release dated September 15, 2026, titled ""Press Release"".",Press Release,0.0,0,False,False,0,none
