metric,ticker,value,prev,pct_change,source
USDINR,INR=X,94.3,94.44,-0.15,Yahoo Finance
GOLD,GC=F,4078.7,4030.5,1.2,Yahoo Finance
SILVER,SI=F,59.22,58.35,1.49,Yahoo Finance
CRUDE_WTI,CL=F,69.23,71.92,-3.74,Yahoo Finance
CRUDE_BRENT,BZ=F,71.99,75.26,-4.34,Yahoo Finance
COPPER,HG=F,6.14,6.07,1.17,Yahoo Finance
NAT_GAS,NG=F,3.23,3.34,-3.35,Yahoo Finance
DOLLAR_INDEX,DX-Y.NYB,101.43,101.61,-0.18,Yahoo Finance
BITCOIN,BTC-USD,60304.09,59721.68,0.98,Yahoo Finance
US_SP500,^GSPC,7354.02,7357.49,-0.05,Yahoo Finance
US_NASDAQ,^IXIC,,25358.6,,Yahoo Finance
US_DOW,^DJI,,51920.62,,Yahoo Finance
US_VIX,^VIX,18.41,18.89,-2.54,Yahoo Finance
US_5Y_YIELD,^FVX,4.13,4.13,0.0,Yahoo Finance
US_10Y_YIELD,^TNX,4.37,4.37,0.0,Yahoo Finance
US_30Y_YIELD,^TYX,4.86,4.86,0.0,Yahoo Finance
NIKKEI,^N225,69360.88,72366.34,-4.15,Yahoo Finance
HANG_SENG,^HSI,22671.86,23076.91,-1.76,Yahoo Finance
SHANGHAI,000001.SS,4027.26,4120.28,-2.26,Yahoo Finance
KOSPI,^KS11,,8930.3,,Yahoo Finance
TAIWAN,^TWII,46255.26,46043.6,0.46,Yahoo Finance
ASX200,^AXJO,8748.7,8808.4,-0.68,Yahoo Finance
FTSE,^FTSE,10508.0,10529.9,-0.21,Yahoo Finance
DAX,^GDAXI,24994.83,24740.36,1.03,Yahoo Finance
EURO_STOXX50,^STOXX50E,6267.53,6214.7,0.85,Yahoo Finance
EM_ETF,EEM,,67.96,,Yahoo Finance
INDIA_ETF,INDA,,49.43,,Yahoo Finance
REPO_RATE,,,,,RBI (manual)
CPI_INFLATION,,,,,MOSPI (manual)
GDP_GROWTH,,,,,MOSPI (manual)
