symbol,ex_date,record_date,purpose,face_value,series
KAJARIACER,21-Sep-2026,21-Sep-2026,Dividend - Rs 6 Per Share,1,EQ
RELAXO,18-Sep-2026,18-Sep-2026,Dividend - Rs 3.50 Per Share,1,EQ
CAPLIPOINT,18-Sep-2026,18-Sep-2026,Dividend - Rs 4 Per Share,2,EQ
HGS,18-Sep-2026,18-Sep-2026,Dividend - Rs 5 Per Share,10,EQ
SMSPHARMA,16-Sep-2026,16-Sep-2026,Dividend - Re 0.40 Per Share,1,EQ
AGI,15-Sep-2026,15-Sep-2026,Dividend - Rs 7 Per Share,2,EQ
POCL,15-Sep-2026,15-Sep-2026,Dividend - Rs 2 Per Share,2,EQ
JKIL,15-Sep-2026,15-Sep-2026,Dividend - Rs 4 Per Share,5,EQ
KNRCON,15-Sep-2026,15-Sep-2026,Dividend - Re 0.25 Per Share,2,EQ
PPAP,11-Sep-2026,11-Sep-2026,Dividend - Rs 1.50 Per Share,10,EQ
PAISALO,11-Sep-2026,14-Sep-2026,Dividend - Re 0.10 Per Share,1,EQ
SIGNPOST,11-Sep-2026,11-Sep-2026,Dividend - Re 0.50 Per Share,2,EQ
PGIL,11-Sep-2026,11-Sep-2026,Bonus 1:1,5,EQ
PHOENIXLTD,11-Sep-2026,11-Sep-2026,Dividend - Rs 2.50 Per Share,2,EQ
SKMEGGPROD,11-Sep-2026,11-Sep-2026,Dividend - Rs 1.25 Per Share,5,EQ
PITTIENG,11-Sep-2026,11-Sep-2026,Dividend - Rs 2.50 Per Share,5,EQ
PODDARMENT,11-Sep-2026,14-Sep-2026,Dividend - Rs 4 Per Share,10,EQ
SRD,11-Sep-2026,12-Sep-2026,Dividend - Re 0.05 Per Share,10,EQ
KRYSTAL,11-Sep-2026,11-Sep-2026,Dividend - Rs 1.50 Per Share,10,EQ
BPLPHARMA,11-Sep-2026,12-Sep-2026,Dividend - Re 1 Per Share,10,EQ
GIPCL,11-Sep-2026,11-Sep-2026,Dividend - Rs 4.10 Per Share,10,EQ
BLIL,11-Sep-2026,14-Sep-2026,Dividend - Rs 2.27 Per Share,1,EQ
BLUEJET,11-Sep-2026,14-Sep-2026,Dividend - Rs 1.20 Per Share,2,EQ
JTLIND,11-Sep-2026,11-Sep-2026,Dividend - Re 0.125 Per Share,1,EQ
BRIGHTBR,11-Sep-2026,11-Sep-2026,Dividend - Rs 2 Per Share,10,EQ
GSFC,11-Sep-2026,12-Sep-2026,Dividend - Rs 5 Per Share,2,EQ
GSPCROP,11-Sep-2026,11-Sep-2026,Dividend - Re 1 Per Share,10,EQ
GUJENERGY,11-Sep-2026,11-Sep-2026,Dividend - Rs 8.90 Per Share,2,EQ
HBLENGINE,11-Sep-2026,11-Sep-2026,Dividend - Re 1 Per Share,1,EQ
KALYANKJIL,11-Sep-2026,12-Sep-2026,Dividend - Rs 2.50 Per Share,10,EQ
WAAREEENER,11-Sep-2026,11-Sep-2026,Dividend - Rs 2 Per Share,10,EQ
ZUARIIND,11-Sep-2026,14-Sep-2026,Dividend - Re 1 Per Share,10,EQ
INDOTHAI,11-Sep-2026,12-Sep-2026,Dividend - Re 0.10 Per Share,1,EQ
STARTECK,11-Sep-2026,11-Sep-2026,Dividend - Re 0.25 Per Share,10,EQ
STEELCITY,11-Sep-2026,11-Sep-2026,Interim Dividend - Re 1 Per Share,10,EQ
SUBROS,11-Sep-2026,11-Sep-2026,Dividend - Rs 3 Per Share,2,EQ
LINCOLN,11-Sep-2026,11-Sep-2026,Dividend - Rs 1.80 Per Share,10,EQ
LOTUSDEV,11-Sep-2026,11-Sep-2026,Interim Dividend - Re 0.30 Per Share,1,EQ
PYRAMID,11-Sep-2026,11-Sep-2026,Dividend - Re 0.50 Per Share,10,EQ
SUNFLAG,11-Sep-2026,11-Sep-2026,Dividend - Re 1 Per Share,10,EQ
SUYOG,11-Sep-2026,11-Sep-2026,Dividend - Re 1 Per Share,10,EQ
NCLIND,11-Sep-2026,11-Sep-2026,Dividend - Rs 2 Per Share,10,EQ
SHAILY,11-Sep-2026,11-Sep-2026,Dividend - Rs 3 Per Share,2,EQ
SANDHAR,11-Sep-2026,11-Sep-2026,Dividend - Rs 4 Per Share,10,EQ
VENKEYS,11-Sep-2026,11-Sep-2026,Dividend - Rs 10 Per Share,10,EQ
IREDA,11-Sep-2026,11-Sep-2026,Dividend - Re 0.75 Per Share,10,EQ
IRMENERGY,11-Sep-2026,11-Sep-2026,Dividend - Rs 1.50 Per Share,10,EQ
NFL,11-Sep-2026,14-Sep-2026,Dividend - Rs 1.04 Per Share,10,EQ
SBGLP,11-Sep-2026,11-Sep-2026,Dividend - Re 0.12 Per Share,1,EQ
TALBROAUTO,11-Sep-2026,11-Sep-2026,Dividend - Re 0.55 Per Share,2,EQ
NITINSPIN,11-Sep-2026,14-Sep-2026,Dividend - Rs 3 Per Share,10,EQ
RHIM,11-Sep-2026,14-Sep-2026,Dividend - Rs 2.50 Per Share,1,EQ
BECTORFOOD,11-Sep-2026,11-Sep-2026,Dividend - Re 0.70 Per Share,2,EQ
TATVA,11-Sep-2026,11-Sep-2026,Dividend - Rs 2 Per Share,10,EQ
AARTIIND,11-Sep-2026,14-Sep-2026,Dividend - Re 1 Per Share,5,EQ
CSLFINANCE,11-Sep-2026,12-Sep-2026,Dividend - Rs 3 Per Share & Special Dividend Rs 7 Per Share,10,EQ
DATAMATICS,11-Sep-2026,11-Sep-2026,Dividend - Rs 5 Per Share,5,EQ
DCI,11-Sep-2026,12-Sep-2026,Dividend - Re 0.10 Per Share,10,EQ
ALPHAGEO,11-Sep-2026,11-Sep-2026,Dividend - Rs 5 Per Share,10,EQ
AMNPLST,11-Sep-2026,11-Sep-2026,Dividend - Re 0.50 Per Share,2,EQ
AMRUTANJAN,11-Sep-2026,11-Sep-2026,Dividend - Rs 2.90 Per Share,1,EQ
