metric,ticker,value,prev,pct_change,source
USDINR,INR=X,94.67,94.7,-0.04,Yahoo Finance
GOLD,GC=F,4061.3,4129.9,-1.66,Yahoo Finance
SILVER,SI=F,59.97,62.02,-3.31,Yahoo Finance
CRUDE_WTI,CL=F,71.66,73.21,-2.12,Yahoo Finance
CRUDE_BRENT,BZ=F,75.36,77.08,-2.23,Yahoo Finance
COPPER,HG=F,6.06,6.14,-1.25,Yahoo Finance
NAT_GAS,NG=F,3.23,3.15,2.57,Yahoo Finance
DOLLAR_INDEX,DX-Y.NYB,101.66,101.41,0.24,Yahoo Finance
BITCOIN,BTC-USD,62637.0,62668.02,-0.05,Yahoo Finance
US_SP500,^GSPC,7365.46,7472.79,-1.44,Yahoo Finance
US_NASDAQ,^IXIC,25587.04,26166.6,-2.21,Yahoo Finance
US_DOW,^DJI,51666.84,51712.71,-0.09,Yahoo Finance
US_VIX,^VIX,19.21,19.49,-1.44,Yahoo Finance
US_5Y_YIELD,^FVX,4.22,4.23,-0.09,Yahoo Finance
US_10Y_YIELD,^TNX,4.45,4.46,-0.27,Yahoo Finance
US_30Y_YIELD,^TYX,4.9,4.93,-0.51,Yahoo Finance
NIKKEI,^N225,69174.97,69788.38,-0.88,Yahoo Finance
HANG_SENG,^HSI,23412.18,23336.28,0.33,Yahoo Finance
SHANGHAI,000001.SS,4110.81,4106.25,0.11,Yahoo Finance
KOSPI,^KS11,8471.02,8203.84,3.26,Yahoo Finance
TAIWAN,^TWII,46043.6,47100.65,-2.24,Yahoo Finance
ASX200,^AXJO,8808.4,8787.0,0.24,Yahoo Finance
FTSE,^FTSE,10430.34,10428.9,0.01,Yahoo Finance
DAX,^GDAXI,24643.24,24893.58,-1.01,Yahoo Finance
EURO_STOXX50,^STOXX50E,6213.06,6230.55,-0.28,Yahoo Finance
EM_ETF,EEM,67.17,71.21,-5.67,Yahoo Finance
INDIA_ETF,INDA,49.07,49.92,-1.7,Yahoo Finance
REPO_RATE,,,,,RBI (manual)
CPI_INFLATION,,,,,MOSPI (manual)
GDP_GROWTH,,,,,MOSPI (manual)
