metric,ticker,value,prev,pct_change,source
USDINR,INR=X,95.33,95.53,-0.21,Yahoo Finance
GOLD,GC=F,4170.3,4112.7,1.4,Yahoo Finance
SILVER,SI=F,62.28,60.64,2.7,Yahoo Finance
CRUDE_WTI,CL=F,68.63,68.69,-0.09,Yahoo Finance
CRUDE_BRENT,BZ=F,71.87,71.8,0.1,Yahoo Finance
COPPER,HG=F,6.21,6.11,1.63,Yahoo Finance
NAT_GAS,NG=F,3.17,3.2,-0.66,Yahoo Finance
DOLLAR_INDEX,DX-Y.NYB,100.94,100.86,0.08,Yahoo Finance
BITCOIN,BTC-USD,63257.03,63088.3,0.27,Yahoo Finance
US_SP500,^GSPC,7483.24,7483.23,0.0,Yahoo Finance
US_NASDAQ,^IXIC,25832.67,26040.03,-0.8,Yahoo Finance
US_DOW,^DJI,52900.07,52305.24,1.14,Yahoo Finance
US_VIX,^VIX,16.15,16.59,-2.65,Yahoo Finance
US_5Y_YIELD,^FVX,4.23,4.23,-0.05,Yahoo Finance
US_10Y_YIELD,^TNX,4.49,4.47,0.22,Yahoo Finance
US_30Y_YIELD,^TYX,4.99,4.97,0.38,Yahoo Finance
NIKKEI,^N225,69477.63,69744.07,-0.38,Yahoo Finance
HANG_SENG,^HSI,23542.97,23350.03,0.83,Yahoo Finance
SHANGHAI,000001.SS,4046.71,4043.64,0.08,Yahoo Finance
KOSPI,^KS11,7970.85,8088.34,-1.45,Yahoo Finance
TAIWAN,^TWII,46885.76,46780.62,0.22,Yahoo Finance
ASX200,^AXJO,8829.0,8844.4,-0.17,Yahoo Finance
FTSE,^FTSE,10679.0,10652.9,0.25,Yahoo Finance
DAX,^GDAXI,25779.31,25580.88,0.78,Yahoo Finance
EURO_STOXX50,^STOXX50E,6412.68,6360.47,0.82,Yahoo Finance
EM_ETF,EEM,65.7,66.48,-1.17,Yahoo Finance
INDIA_ETF,INDA,49.56,49.21,0.71,Yahoo Finance
REPO_RATE,,,,,RBI (manual)
CPI_INFLATION,,,,,MOSPI (manual)
GDP_GROWTH,,,,,MOSPI (manual)
