metric,ticker,value,prev,pct_change,source
USDINR,INR=X,94.39,95.18,-0.83,Yahoo Finance
GOLD,GC=F,3992.1,3990.3,0.05,Yahoo Finance
SILVER,SI=F,57.09,58.05,-1.66,Yahoo Finance
CRUDE_WTI,CL=F,69.69,70.34,-0.92,Yahoo Finance
CRUDE_BRENT,BZ=F,73.22,73.74,-0.71,Yahoo Finance
COPPER,HG=F,6.09,5.94,2.39,Yahoo Finance
NAT_GAS,NG=F,3.31,3.22,2.76,Yahoo Finance
DOLLAR_INDEX,DX-Y.NYB,101.72,101.61,0.1,Yahoo Finance
BITCOIN,BTC-USD,61228.63,60995.13,0.38,Yahoo Finance
US_SP500,^GSPC,7358.22,7365.46,-0.1,Yahoo Finance
US_NASDAQ,^IXIC,25476.64,25587.04,-0.43,Yahoo Finance
US_DOW,^DJI,51848.9,51666.84,0.35,Yahoo Finance
US_VIX,^VIX,18.14,18.63,-2.63,Yahoo Finance
US_5Y_YIELD,^FVX,4.22,4.23,-0.09,Yahoo Finance
US_10Y_YIELD,^TNX,4.45,4.46,-0.27,Yahoo Finance
US_30Y_YIELD,^TYX,4.9,4.93,-0.51,Yahoo Finance
NIKKEI,^N225,72366.34,69174.97,4.61,Yahoo Finance
HANG_SENG,^HSI,23076.91,23412.18,-1.43,Yahoo Finance
SHANGHAI,000001.SS,4120.28,4110.81,0.23,Yahoo Finance
KOSPI,^KS11,8930.3,8471.02,5.42,Yahoo Finance
TAIWAN,^TWII,46255.26,46043.6,0.46,Yahoo Finance
ASX200,^AXJO,8748.7,8808.4,-0.68,Yahoo Finance
FTSE,^FTSE,10507.94,10461.6,0.44,Yahoo Finance
DAX,^GDAXI,24866.66,24740.36,0.51,Yahoo Finance
EURO_STOXX50,^STOXX50E,6257.77,6214.7,0.69,Yahoo Finance
EM_ETF,EEM,67.25,67.17,0.12,Yahoo Finance
INDIA_ETF,INDA,49.63,49.07,1.14,Yahoo Finance
REPO_RATE,,,,,RBI (manual)
CPI_INFLATION,,,,,MOSPI (manual)
GDP_GROWTH,,,,,MOSPI (manual)
