metric,ticker,value,prev,pct_change,source
USDINR,INR=X,96.3,96.5,-0.2,Yahoo Finance
GOLD,GC=F,4002.3,4044.0,-1.03,Yahoo Finance
SILVER,SI=F,55.83,57.11,-2.25,Yahoo Finance
CRUDE_WTI,CL=F,78.96,79.6,-0.8,Yahoo Finance
CRUDE_BRENT,BZ=F,84.84,84.95,-0.13,Yahoo Finance
COPPER,HG=F,6.25,6.29,-0.7,Yahoo Finance
NAT_GAS,NG=F,2.87,2.92,-1.98,Yahoo Finance
DOLLAR_INDEX,DX-Y.NYB,100.76,100.5,0.26,Yahoo Finance
BITCOIN,BTC-USD,63527.43,64712.38,-1.83,Yahoo Finance
US_SP500,^GSPC,7533.77,7572.4,-0.51,Yahoo Finance
US_NASDAQ,^IXIC,25881.95,26269.23,-1.47,Yahoo Finance
US_DOW,^DJI,52552.97,52658.64,-0.2,Yahoo Finance
US_VIX,^VIX,16.73,15.67,6.76,Yahoo Finance
US_5Y_YIELD,^FVX,4.28,4.26,0.63,Yahoo Finance
US_10Y_YIELD,^TNX,4.57,4.55,0.53,Yahoo Finance
US_30Y_YIELD,^TYX,5.1,5.08,0.3,Yahoo Finance
NIKKEI,^N225,64163.96,66835.54,-4.0,Yahoo Finance
HANG_SENG,^HSI,24534.95,25008.6,-1.89,Yahoo Finance
SHANGHAI,000001.SS,3818.59,3882.41,-1.64,Yahoo Finance
KOSPI,^KS11,6820.6,7284.41,-6.37,Yahoo Finance
TAIWAN,^TWII,43687.53,45624.98,-4.25,Yahoo Finance
ASX200,^AXJO,8797.1,8840.7,-0.49,Yahoo Finance
FTSE,^FTSE,10572.2,10515.9,0.54,Yahoo Finance
DAX,^GDAXI,24915.49,24999.53,-0.34,Yahoo Finance
EURO_STOXX50,^STOXX50E,6283.61,6265.58,0.29,Yahoo Finance
EM_ETF,EEM,64.19,65.57,-2.1,Yahoo Finance
INDIA_ETF,INDA,48.69,48.72,-0.06,Yahoo Finance
REPO_RATE,,,,,RBI (manual)
CPI_INFLATION,,,,,MOSPI (manual)
GDP_GROWTH,,,,,MOSPI (manual)
