metric,ticker,value,prev,pct_change,source
USDINR,INR=X,96.28,96.49,-0.21,Yahoo Finance
GOLD,GC=F,4138.0,4010.3,3.18,Yahoo Finance
SILVER,SI=F,60.1,56.8,5.81,Yahoo Finance
CRUDE_WTI,CL=F,85.18,83.23,2.34,Yahoo Finance
CRUDE_BRENT,BZ=F,92.05,89.22,3.17,Yahoo Finance
COPPER,HG=F,6.53,6.3,3.6,Yahoo Finance
NAT_GAS,NG=F,2.88,2.86,0.56,Yahoo Finance
DOLLAR_INDEX,DX-Y.NYB,101.14,100.99,0.15,Yahoo Finance
BITCOIN,BTC-USD,66220.38,65230.03,1.52,Yahoo Finance
US_SP500,^GSPC,7509.2,7443.28,0.89,Yahoo Finance
US_NASDAQ,^IXIC,25837.21,25508.07,1.29,Yahoo Finance
US_DOW,^DJI,52224.64,51839.26,0.74,Yahoo Finance
US_VIX,^VIX,17.05,18.65,-8.58,Yahoo Finance
US_5Y_YIELD,^FVX,4.37,4.33,0.97,Yahoo Finance
US_10Y_YIELD,^TNX,4.63,4.6,0.65,Yahoo Finance
US_30Y_YIELD,^TYX,5.13,5.12,0.23,Yahoo Finance
NIKKEI,^N225,67042.78,66232.19,1.22,Yahoo Finance
HANG_SENG,^HSI,24933.55,25132.29,-0.79,Yahoo Finance
SHANGHAI,000001.SS,3883.58,3864.37,0.5,Yahoo Finance
KOSPI,^KS11,7055.62,6747.95,4.56,Yahoo Finance
TAIWAN,^TWII,45015.13,44232.87,1.77,Yahoo Finance
ASX200,^AXJO,8827.4,8793.3,0.39,Yahoo Finance
FTSE,^FTSE,10585.9,10524.8,0.58,Yahoo Finance
DAX,^GDAXI,25011.35,24846.69,0.66,Yahoo Finance
EURO_STOXX50,^STOXX50E,6285.63,6227.4,0.94,Yahoo Finance
EM_ETF,EEM,65.34,63.56,2.8,Yahoo Finance
INDIA_ETF,INDA,48.78,48.55,0.47,Yahoo Finance
REPO_RATE,,,,,RBI (manual)
CPI_INFLATION,,,,,MOSPI (manual)
GDP_GROWTH,,,,,MOSPI (manual)
