metric,ticker,value,prev,pct_change,source
USDINR,INR=X,95.3,95.86,-0.58,Yahoo Finance
GOLD,GC=F,4126.8,4130.6,-0.09,Yahoo Finance
SILVER,SI=F,60.85,60.38,0.78,Yahoo Finance
CRUDE_WTI,CL=F,72.49,72.08,0.57,Yahoo Finance
CRUDE_BRENT,BZ=F,76.84,76.3,0.71,Yahoo Finance
COPPER,HG=F,6.32,6.22,1.65,Yahoo Finance
NAT_GAS,NG=F,3.01,3.01,-0.13,Yahoo Finance
DOLLAR_INDEX,DX-Y.NYB,100.74,100.94,-0.2,Yahoo Finance
BITCOIN,BTC-USD,63843.68,62257.57,2.55,Yahoo Finance
US_SP500,^GSPC,7543.64,7482.71,0.81,Yahoo Finance
US_NASDAQ,^IXIC,26206.89,25870.65,1.3,Yahoo Finance
US_DOW,^DJI,52487.41,52348.39,0.27,Yahoo Finance
US_VIX,^VIX,15.84,16.9,-6.27,Yahoo Finance
US_5Y_YIELD,^FVX,4.27,4.31,-0.91,Yahoo Finance
US_10Y_YIELD,^TNX,4.54,4.57,-0.66,Yahoo Finance
US_30Y_YIELD,^TYX,5.05,5.07,-0.24,Yahoo Finance
NIKKEI,^N225,68954.47,67743.85,1.79,Yahoo Finance
HANG_SENG,^HSI,24476.69,24030.18,1.86,Yahoo Finance
SHANGHAI,000001.SS,4067.07,4036.59,0.76,Yahoo Finance
KOSPI,^KS11,7700.05,7291.91,5.6,Yahoo Finance
TAIWAN,^TWII,45354.61,45734.41,-0.83,Yahoo Finance
ASX200,^AXJO,8802.0,8762.5,0.45,Yahoo Finance
FTSE,^FTSE,10472.5,10489.0,-0.16,Yahoo Finance
DAX,^GDAXI,25118.27,24897.45,0.89,Yahoo Finance
EURO_STOXX50,^STOXX50E,6284.27,6204.91,1.28,Yahoo Finance
EM_ETF,EEM,66.78,66.23,0.83,Yahoo Finance
INDIA_ETF,INDA,49.02,48.65,0.76,Yahoo Finance
REPO_RATE,,,,,RBI (manual)
CPI_INFLATION,,,,,MOSPI (manual)
GDP_GROWTH,,,,,MOSPI (manual)
