metric,ticker,value,prev,pct_change,source
USDINR,INR=X,94.74,94.33,0.43,Yahoo Finance
GOLD,GC=F,4138.9,4181.9,-1.03,Yahoo Finance
SILVER,SI=F,62.11,65.53,-5.21,Yahoo Finance
CRUDE_WTI,CL=F,73.83,74.82,-1.32,Yahoo Finance
CRUDE_BRENT,BZ=F,77.81,77.9,-0.12,Yahoo Finance
COPPER,HG=F,6.16,6.36,-3.03,Yahoo Finance
NAT_GAS,NG=F,3.24,3.25,-0.43,Yahoo Finance
DOLLAR_INDEX,DX-Y.NYB,101.28,101.02,0.25,Yahoo Finance
BITCOIN,BTC-USD,62432.78,63952.11,-2.38,Yahoo Finance
US_SP500,^GSPC,7472.79,7500.58,-0.37,Yahoo Finance
US_NASDAQ,^IXIC,26166.6,26517.93,-1.32,Yahoo Finance
US_DOW,^DJI,51712.71,51564.7,0.29,Yahoo Finance
US_VIX,^VIX,19.62,17.28,13.54,Yahoo Finance
US_5Y_YIELD,^FVX,4.22,4.23,-0.09,Yahoo Finance
US_10Y_YIELD,^TNX,4.45,4.46,-0.27,Yahoo Finance
US_30Y_YIELD,^TYX,4.9,4.93,-0.51,Yahoo Finance
NIKKEI,^N225,69788.38,72353.96,-3.55,Yahoo Finance
HANG_SENG,^HSI,23336.28,23768.52,-1.82,Yahoo Finance
SHANGHAI,000001.SS,4106.25,4163.1,-1.37,Yahoo Finance
KOSPI,^KS11,8203.84,9114.55,-9.99,Yahoo Finance
TAIWAN,^TWII,47100.65,47741.51,-1.34,Yahoo Finance
ASX200,^AXJO,8787.0,8816.1,-0.33,Yahoo Finance
FTSE,^FTSE,10393.65,10437.9,-0.42,Yahoo Finance
DAX,^GDAXI,24897.44,25139.69,-0.96,Yahoo Finance
EURO_STOXX50,^STOXX50E,6244.79,6311.32,-1.05,Yahoo Finance
EM_ETF,EEM,71.21,70.79,0.59,Yahoo Finance
INDIA_ETF,INDA,49.92,49.58,0.69,Yahoo Finance
REPO_RATE,,,,,RBI (manual)
CPI_INFLATION,,,,,MOSPI (manual)
GDP_GROWTH,,,,,MOSPI (manual)
