metric,ticker,value,prev,pct_change,source
USDINR,INR=X,95.37,95.86,-0.51,Yahoo Finance
GOLD,GC=F,4128.9,4130.6,-0.04,Yahoo Finance
SILVER,SI=F,60.3,60.38,-0.13,Yahoo Finance
CRUDE_WTI,CL=F,71.51,72.08,-0.79,Yahoo Finance
CRUDE_BRENT,BZ=F,76.0,76.3,-0.39,Yahoo Finance
COPPER,HG=F,6.28,6.22,1.13,Yahoo Finance
NAT_GAS,NG=F,2.95,3.01,-2.12,Yahoo Finance
DOLLAR_INDEX,DX-Y.NYB,100.96,100.94,0.02,Yahoo Finance
BITCOIN,BTC-USD,64131.45,63193.15,1.48,Yahoo Finance
US_SP500,^GSPC,7575.39,7543.64,0.42,Yahoo Finance
US_NASDAQ,^IXIC,26281.61,26206.89,0.29,Yahoo Finance
US_DOW,^DJI,52637.01,52487.41,0.29,Yahoo Finance
US_VIX,^VIX,15.03,15.84,-5.11,Yahoo Finance
US_5Y_YIELD,^FVX,4.31,4.27,0.91,Yahoo Finance
US_10Y_YIELD,^TNX,4.57,4.54,0.66,Yahoo Finance
US_30Y_YIELD,^TYX,5.07,5.05,0.36,Yahoo Finance
NIKKEI,^N225,68557.73,67743.85,1.2,Yahoo Finance
HANG_SENG,^HSI,24175.12,24030.18,0.6,Yahoo Finance
SHANGHAI,000001.SS,3996.16,4036.59,-1.0,Yahoo Finance
KOSPI,^KS11,7475.94,7291.91,2.52,Yahoo Finance
TAIWAN,^TWII,45354.61,45734.41,-0.83,Yahoo Finance
ASX200,^AXJO,8806.0,8762.5,0.5,Yahoo Finance
FTSE,^FTSE,10497.3,10472.5,0.24,Yahoo Finance
DAX,^GDAXI,25067.09,25118.27,-0.2,Yahoo Finance
EURO_STOXX50,^STOXX50E,6269.97,6284.27,-0.23,Yahoo Finance
EM_ETF,EEM,66.9,66.78,0.18,Yahoo Finance
INDIA_ETF,INDA,49.3,49.02,0.57,Yahoo Finance
REPO_RATE,,,,,RBI (manual)
CPI_INFLATION,,,,,MOSPI (manual)
GDP_GROWTH,,,,,MOSPI (manual)
