metric,ticker,value,prev,pct_change,source
USDINR,INR=X,96.36,96.28,0.07,Yahoo Finance
GOLD,GC=F,4050.3,4012.7,0.94,Yahoo Finance
SILVER,SI=F,58.04,56.04,3.58,Yahoo Finance
CRUDE_WTI,CL=F,82.25,82.49,-0.29,Yahoo Finance
CRUDE_BRENT,BZ=F,88.64,88.1,0.61,Yahoo Finance
COPPER,HG=F,6.41,6.22,3.03,Yahoo Finance
NAT_GAS,NG=F,2.85,2.91,-1.96,Yahoo Finance
DOLLAR_INDEX,DX-Y.NYB,100.95,100.75,0.2,Yahoo Finance
BITCOIN,BTC-USD,65537.07,64690.8,1.31,Yahoo Finance
US_SP500,^GSPC,7443.28,7457.69,-0.19,Yahoo Finance
US_NASDAQ,^IXIC,25508.07,25520.24,-0.05,Yahoo Finance
US_DOW,^DJI,51839.26,52146.42,-0.59,Yahoo Finance
US_VIX,^VIX,18.65,18.77,-0.64,Yahoo Finance
US_5Y_YIELD,^FVX,4.33,4.27,1.29,Yahoo Finance
US_10Y_YIELD,^TNX,4.6,4.54,1.26,Yahoo Finance
US_30Y_YIELD,^TYX,5.12,5.06,1.07,Yahoo Finance
NIKKEI,^N225,65805.95,64141.12,2.6,Yahoo Finance
HANG_SENG,^HSI,25121.0,25143.05,-0.09,Yahoo Finance
SHANGHAI,000001.SS,3819.66,3796.28,0.62,Yahoo Finance
KOSPI,^KS11,6790.4,6516.27,4.21,Yahoo Finance
TAIWAN,^TWII,43893.44,42449.7,3.4,Yahoo Finance
ASX200,^AXJO,8790.7,8791.3,-0.01,Yahoo Finance
FTSE,^FTSE,10524.8,10600.4,-0.71,Yahoo Finance
DAX,^GDAXI,24846.69,24830.98,0.06,Yahoo Finance
EURO_STOXX50,^STOXX50E,6227.4,6230.87,-0.06,Yahoo Finance
EM_ETF,EEM,63.56,63.29,0.43,Yahoo Finance
INDIA_ETF,INDA,48.55,48.91,-0.74,Yahoo Finance
REPO_RATE,,,,,RBI (manual)
CPI_INFLATION,,,,,MOSPI (manual)
GDP_GROWTH,,,,,MOSPI (manual)
