metric,ticker,value,prev,pct_change,source
USDINR,INR=X,96.47,96.34,0.13,Yahoo Finance
GOLD,GC=F,4130.3,4071.1,1.45,Yahoo Finance
SILVER,SI=F,60.15,58.83,2.24,Yahoo Finance
CRUDE_WTI,CL=F,88.45,84.91,4.17,Yahoo Finance
CRUDE_BRENT,BZ=F,96.25,91.01,5.76,Yahoo Finance
COPPER,HG=F,6.53,6.51,0.25,Yahoo Finance
NAT_GAS,NG=F,2.96,2.87,3.21,Yahoo Finance
DOLLAR_INDEX,DX-Y.NYB,100.98,101.18,-0.2,Yahoo Finance
BITCOIN,BTC-USD,65627.06,66505.12,-1.32,Yahoo Finance
US_SP500,^GSPC,7498.96,7509.2,-0.14,Yahoo Finance
US_NASDAQ,^IXIC,25690.9,25837.21,-0.57,Yahoo Finance
US_DOW,^DJI,52218.58,52224.64,-0.01,Yahoo Finance
US_VIX,^VIX,16.64,17.05,-2.4,Yahoo Finance
US_5Y_YIELD,^FVX,4.41,4.37,0.85,Yahoo Finance
US_10Y_YIELD,^TNX,4.66,4.63,0.63,Yahoo Finance
US_30Y_YIELD,^TYX,5.15,5.13,0.33,Yahoo Finance
NIKKEI,^N225,66414.71,66115.6,0.45,Yahoo Finance
HANG_SENG,^HSI,25219.4,24892.66,1.31,Yahoo Finance
SHANGHAI,000001.SS,3859.69,3867.03,-0.19,Yahoo Finance
KOSPI,^KS11,7000.37,6797.7,2.98,Yahoo Finance
TAIWAN,^TWII,44559.04,44825.78,-0.6,Yahoo Finance
ASX200,^AXJO,8884.8,8823.0,0.7,Yahoo Finance
FTSE,^FTSE,10717.0,10585.9,1.24,Yahoo Finance
DAX,^GDAXI,25155.41,25011.35,0.58,Yahoo Finance
EURO_STOXX50,^STOXX50E,6316.99,6285.63,0.5,Yahoo Finance
EM_ETF,EEM,64.99,65.34,-0.54,Yahoo Finance
INDIA_ETF,INDA,48.22,48.78,-1.15,Yahoo Finance
REPO_RATE,,,,,RBI (manual)
CPI_INFLATION,,,,,MOSPI (manual)
GDP_GROWTH,,,,,MOSPI (manual)
