metric,ticker,value,prev,pct_change,source
USDINR,INR=X,96.56,96.88,-0.33,Yahoo Finance
GOLD,GC=F,4067.6,4046.6,0.52,Yahoo Finance
SILVER,SI=F,58.66,57.8,1.48,Yahoo Finance
CRUDE_WTI,CL=F,89.31,92.19,-3.12,Yahoo Finance
CRUDE_BRENT,BZ=F,96.78,100.69,-3.88,Yahoo Finance
COPPER,HG=F,6.32,6.3,0.24,Yahoo Finance
NAT_GAS,NG=F,2.87,2.92,-1.54,Yahoo Finance
DOLLAR_INDEX,DX-Y.NYB,101.43,101.14,0.29,Yahoo Finance
BITCOIN,BTC-USD,63964.83,64098.5,-0.21,Yahoo Finance
US_SP500,^GSPC,,7408.3,,Yahoo Finance
US_NASDAQ,^IXIC,,25137.69,,Yahoo Finance
US_DOW,^DJI,,51711.65,,Yahoo Finance
US_VIX,^VIX,18.7,16.64,12.38,Yahoo Finance
US_5Y_YIELD,^FVX,4.46,4.41,1.23,Yahoo Finance
US_10Y_YIELD,^TNX,4.7,4.66,0.99,Yahoo Finance
US_30Y_YIELD,^TYX,5.17,5.15,0.47,Yahoo Finance
NIKKEI,^N225,66422.6,66115.6,0.46,Yahoo Finance
HANG_SENG,^HSI,25210.81,24892.66,1.28,Yahoo Finance
SHANGHAI,000001.SS,,3876.78,,Yahoo Finance
KOSPI,^KS11,,7096.89,,Yahoo Finance
TAIWAN,^TWII,44850.81,44825.78,0.06,Yahoo Finance
ASX200,^AXJO,8839.0,8823.0,0.18,Yahoo Finance
FTSE,^FTSE,10639.2,10717.0,-0.73,Yahoo Finance
DAX,^GDAXI,24763.12,25155.41,-1.56,Yahoo Finance
EURO_STOXX50,^STOXX50E,6210.17,6316.99,-1.69,Yahoo Finance
EM_ETF,EEM,,64.6,,Yahoo Finance
INDIA_ETF,INDA,,47.63,,Yahoo Finance
REPO_RATE,,,,,RBI (manual)
CPI_INFLATION,,,,,MOSPI (manual)
GDP_GROWTH,,,,,MOSPI (manual)
