metric,ticker,value,prev,pct_change,source
USDINR,INR=X,96.22,96.43,-0.21,Yahoo Finance
GOLD,GC=F,4039.5,4061.1,-0.53,Yahoo Finance
SILVER,SI=F,57.46,58.77,-2.23,Yahoo Finance
CRUDE_WTI,CL=F,79.35,79.34,0.01,Yahoo Finance
CRUDE_BRENT,BZ=F,84.45,84.73,-0.33,Yahoo Finance
COPPER,HG=F,6.41,6.33,1.18,Yahoo Finance
NAT_GAS,NG=F,2.9,2.9,-0.07,Yahoo Finance
DOLLAR_INDEX,DX-Y.NYB,100.49,100.94,-0.45,Yahoo Finance
BITCOIN,BTC-USD,64602.33,64956.11,-0.54,Yahoo Finance
US_SP500,^GSPC,7572.4,7543.59,0.38,Yahoo Finance
US_NASDAQ,^IXIC,26269.23,26107.01,0.62,Yahoo Finance
US_DOW,^DJI,52658.64,52508.27,0.29,Yahoo Finance
US_VIX,^VIX,15.67,16.5,-5.03,Yahoo Finance
US_5Y_YIELD,^FVX,4.26,4.32,-1.53,Yahoo Finance
US_10Y_YIELD,^TNX,4.55,4.59,-0.87,Yahoo Finance
US_30Y_YIELD,^TYX,5.08,5.09,-0.22,Yahoo Finance
NIKKEI,^N225,67020.07,68751.51,-2.52,Yahoo Finance
HANG_SENG,^HSI,25164.54,24681.1,1.96,Yahoo Finance
SHANGHAI,000001.SS,3923.2,3955.58,-0.82,Yahoo Finance
KOSPI,^KS11,6823.91,7284.41,-6.32,Yahoo Finance
TAIWAN,^TWII,45576.74,45631.59,-0.12,Yahoo Finance
ASX200,^AXJO,8816.0,8841.1,-0.28,Yahoo Finance
FTSE,^FTSE,10515.9,10529.4,-0.13,Yahoo Finance
DAX,^GDAXI,24999.53,25147.03,-0.59,Yahoo Finance
EURO_STOXX50,^STOXX50E,6265.58,6280.19,-0.23,Yahoo Finance
EM_ETF,EEM,65.57,65.67,-0.15,Yahoo Finance
INDIA_ETF,INDA,48.72,48.73,-0.02,Yahoo Finance
REPO_RATE,,,,,RBI (manual)
CPI_INFLATION,,,,,MOSPI (manual)
GDP_GROWTH,,,,,MOSPI (manual)
