metric,ticker,value,prev,pct_change,source
USDINR,INR=X,94.39,94.44,-0.06,Yahoo Finance
GOLD,GC=F,4005.5,3990.3,0.38,Yahoo Finance
SILVER,SI=F,56.1,58.05,-3.35,Yahoo Finance
CRUDE_WTI,CL=F,70.73,70.34,0.55,Yahoo Finance
CRUDE_BRENT,BZ=F,74.35,73.74,0.83,Yahoo Finance
COPPER,HG=F,6.05,5.94,1.75,Yahoo Finance
NAT_GAS,NG=F,3.28,3.22,1.71,Yahoo Finance
DOLLAR_INDEX,DX-Y.NYB,101.52,101.61,-0.09,Yahoo Finance
BITCOIN,BTC-USD,58773.41,60995.13,-3.64,Yahoo Finance
US_SP500,^GSPC,7357.49,7358.22,-0.01,Yahoo Finance
US_NASDAQ,^IXIC,25358.6,25476.64,-0.46,Yahoo Finance
US_DOW,^DJI,51920.62,51848.9,0.14,Yahoo Finance
US_VIX,^VIX,18.89,18.63,1.4,Yahoo Finance
US_5Y_YIELD,^FVX,4.16,4.22,-1.47,Yahoo Finance
US_10Y_YIELD,^TNX,4.39,4.45,-1.33,Yahoo Finance
US_30Y_YIELD,^TYX,4.86,4.9,-0.88,Yahoo Finance
NIKKEI,^N225,69602.72,72366.34,-3.82,Yahoo Finance
HANG_SENG,^HSI,22573.04,23076.91,-2.18,Yahoo Finance
SHANGHAI,000001.SS,4009.21,4120.28,-2.7,Yahoo Finance
KOSPI,^KS11,8288.33,8930.3,-7.19,Yahoo Finance
TAIWAN,^TWII,44903.25,46255.26,-2.92,Yahoo Finance
ASX200,^AXJO,8735.5,8748.7,-0.15,Yahoo Finance
FTSE,^FTSE,10529.9,10461.6,0.65,Yahoo Finance
DAX,^GDAXI,24994.83,24740.36,1.03,Yahoo Finance
EURO_STOXX50,^STOXX50E,6267.53,6214.7,0.85,Yahoo Finance
EM_ETF,EEM,67.96,67.25,1.06,Yahoo Finance
INDIA_ETF,INDA,49.43,49.63,-0.4,Yahoo Finance
REPO_RATE,,,,,RBI (manual)
CPI_INFLATION,,,,,MOSPI (manual)
GDP_GROWTH,,,,,MOSPI (manual)
